timestamp,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0.0,0.7272,-0.0380,-1.3149,1.2101,0.0000,0.0000,0.0000,0.1956,-0.3152,-0.6075,1.3371,0.0000,0.0000,0.0000
0.1,0.7115,-0.0293,-1.3171,1.1882,0.0000,0.0000,0.0000,0.1902,-0.3147,-0.6435,1.3323,0.0000,0.0000,0.0000
0.2,0.7146,-0.0188,-1.2575,1.1852,0.0000,0.0000,0.0000,0.1826,-0.3140,-0.6618,1.3426,0.0000,0.0000,0.0000
0.3,0.7404,0.0034,-1.1875,1.1965,0.0000,0.0000,0.0000,0.1711,-0.3088,-0.6547,1.3422,0.0000,0.0000,0.0000
0.4,0.8052,0.0388,-1.0955,1.2295,0.0000,0.0000,0.0000,0.2763,-0.3335,0.8334,1.3900,0.0000,0.0000,0.0000
0.5,0.8067,0.0897,-1.2569,1.2764,0.0000,0.0000,0.0000,0.3765,-0.3629,1.6918,1.3791,0.0000,0.0000,0.0000
0.6,0.7070,0.1322,0.9343,1.2741,0.0000,0.0000,0.0000,0.3828,-0.3839,2.0759,1.3836,0.0000,0.0000,0.0000
0.7,0.6665,0.1645,2.1778,1.2605,0.0000,0.0000,0.0000,0.3815,-0.3934,2.5403,1.3910,0.0000,0.0000,0.0000
0.8,0.6253,0.1837,2.8669,1.2411,0.0000,0.0000,0.0000,0.3835,-0.3958,2.6956,1.3897,0.0000,0.0000,0.0000
0.9,0.5992,0.1923,3.2712,1.2758,0.0000,0.0000,0.0000,0.3756,-0.3970,2.8332,1.3856,0.0000,0.0000,0.0000
1.0,0.5944,0.1938,3.4770,1.2923,0.0000,0.0000,0.0000,0.3652,-0.3998,2.9090,1.3799,0.0000,0.0000,0.0000
1.1,0.5591,0.1934,3.5978,1.2958,0.0000,0.0000,0.0000,0.3395,-0.4007,2.9483,1.3706,0.0000,0.0000,0.0000
1.2,0.5716,0.1861,3.6692,1.2753,0.0000,0.0000,0.0000,0.3343,-0.4016,3.0045,1.3631,0.0000,0.0000,0.0000
1.3,0.5846,0.1800,3.7110,1.2723,0.0000,0.0000,0.0000,0.3493,-0.4019,3.0367,1.3575,0.0000,0.0000,0.0000
1.4,0.6241,0.1744,1.4588,1.2740,0.0000,0.0000,0.0000,0.3617,-0.4027,3.0248,1.3537,0.0000,0.0000,0.0000
1.5,0.6324,0.1680,0.1752,1.2831,0.0000,0.0000,0.0000,0.3534,-0.4031,3.0127,1.3500,0.0000,0.0000,0.0000
1.6,0.6339,0.1672,1.5723,1.2855,0.0000,0.0000,0.0000,0.3474,-0.4053,2.9931,1.3462,0.0000,0.0000,0.0000
1.7,0.6385,0.1683,2.4851,1.2966,0.0000,0.0000,0.0000,0.3466,-0.4076,2.9677,1.3440,0.0000,0.0000,0.0000
1.8,0.6375,0.1658,3.0131,1.2966,0.0000,0.0000,0.0000,0.3551,-0.4132,2.9011,1.3412,0.0000,0.0000,0.0000
1.9,0.6342,0.1592,3.3240,1.2989,0.0000,0.0000,0.0000,0.3568,-0.4143,2.8809,1.3428,0.0000,0.0000,0.0000
2.0,0.6267,0.1542,3.5079,1.3061,0.0000,0.0000,0.0000,0.3602,-0.4150,2.8458,1.3421,0.0000,0.0000,0.0000
2.1,0.6078,0.1511,3.6137,1.3154,0.0000,0.0000,0.0000,0.3553,-0.4163,2.7744,1.3387,0.0000,0.0000,0.0000
2.2,0.5784,0.1532,3.6110,1.3316,0.0000,0.0000,0.0000,0.3506,-0.4159,2.6517,1.3264,0.0000,0.0000,0.0000
2.3,0.5559,0.1520,3.6749,1.3311,0.0000,0.0000,0.0000,0.3430,-0.4145,2.5729,1.3197,0.0000,0.0000,0.0000
2.4,0.5450,0.1499,3.7134,1.3245,0.0000,0.0000,0.0000,0.3274,-0.4160,2.5011,1.3217,0.0000,0.0000,0.0000
2.5,0.5591,0.1464,3.7365,1.3286,0.0000,0.0000,0.0000,0.3229,-0.4192,2.4378,1.3225,0.0000,0.0000,0.0000
2.6,0.5560,0.1440,3.7503,1.3464,0.0000,0.0000,0.0000,0.3146,-0.4286,2.4005,1.3163,0.0000,0.0000,0.0000
2.7,0.5402,0.1401,3.6360,1.3641,0.0000,0.0000,0.0000,0.2948,-0.4383,2.4237,1.3176,0.0000,0.0000,0.0000
2.8,0.5318,0.1341,3.5821,1.3781,0.0000,0.0000,0.0000,0.2997,-0.4535,2.5037,1.3107,0.0000,0.0000,0.0000
