timestamp,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.0,0.5512,0.2592,1.4142,1.4220,1.0356,-1.2997,-3.4975,0.0218,-0.2273,-0.6852,1.1622,0.9433,-1.3576,2.8272
0.1,0.5912,0.2808,1.4928,1.4169,0.8464,-1.3623,-3.5526,0.0264,-0.1938,-0.8246,1.1463,0.9799,-1.3374,2.8697
0.2,0.6100,0.2909,1.5478,1.4196,0.6787,-1.4062,-3.5912,0.0378,-0.1632,-0.9612,1.1486,1.0030,-1.3271,2.9004
0.3,0.6062,0.2932,1.5863,1.3809,0.4844,-1.4368,-3.6182,0.0360,-0.1446,-1.0396,1.1376,1.0470,-1.3134,2.9288
0.4,0.5637,0.2325,1.3885,1.3719,0.3122,-1.0565,-2.4538,0.0680,-0.1338,-1.0760,1.1979,1.0158,-1.4704,2.8884
0.5,0.5355,0.1835,1.2482,1.3726,0.2728,-0.7200,-1.6610,0.0952,-0.1297,-1.0564,1.2044,0.9650,-1.6149,2.8584
0.6,0.5158,0.1536,1.1542,1.3851,0.2926,-0.4580,-1.1345,0.1162,-0.1354,-0.9344,1.2139,0.9703,-1.7274,2.8270
0.7,0.5012,0.1369,1.0901,1.3981,0.2824,-0.2801,-0.7614,0.1277,-0.1440,-0.8271,1.2329,0.9711,-1.7976,2.8093
0.8,0.4925,0.1296,1.0542,1.4117,0.2638,-0.1592,-0.4973,0.1428,-0.1510,-0.6939,1.2516,0.9652,-1.8368,2.8098
0.9,0.4855,0.1260,1.0279,1.4228,0.2544,-0.0722,-0.3160,0.1577,-0.1592,-0.5385,1.2726,0.9639,-1.8568,2.8182
1.0,0.4819,0.1236,1.0134,1.4310,0.2452,-0.0127,-0.1870,0.1668,-0.1668,-0.4305,1.2962,0.9573,-1.8628,2.8282
1.1,0.4831,0.1225,1.0145,1.4388,0.2471,0.0311,-0.0966,0.1717,-0.1734,-0.3612,1.3174,0.9744,-1.8668,2.8315
1.2,0.4807,0.1232,1.0079,1.4454,0.2322,0.0587,-0.0323,0.1693,-0.1798,-0.3463,1.3366,0.9969,-1.8715,2.8275
1.3,0.4729,0.1264,0.9880,1.4562,0.1904,0.0889,0.0439,0.1597,-0.1931,-0.3408,1.3757,1.0440,-1.8721,2.8201
1.4,0.4623,0.1297,0.9598,1.4627,0.1583,0.1054,0.0758,0.1534,-0.2000,-0.3458,1.4050,1.0623,-1.8602,2.8229
1.5,0.4567,0.1319,0.9448,1.4606,0.1287,0.0982,0.0936,0.1503,-0.2022,-0.3532,1.4070,1.2293,-1.9316,2.7528
1.6,0.4617,0.1298,0.9576,1.4549,0.1334,0.0928,0.1113,0.1498,-0.2033,-0.3518,1.4072,1.3383,-1.9739,2.7115
1.7,0.4713,0.1310,0.9876,1.4436,0.0840,0.0400,0.1569,0.1563,-0.2074,-0.2936,1.3670,1.1496,-1.9723,2.7560
