timestamp,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0.0,0.0833,0.1878,-0.7926,1.2365,0.0000,0.0000,0.0000,0.2527,-0.3789,-0.1955,1.1853,0.0000,0.0000,0.0000
0.1,0.1273,0.1881,-0.8192,1.2172,0.0000,0.0000,0.0000,0.2357,-0.3318,-0.0063,1.1924,0.0000,0.0000,0.0000
0.2,0.1501,0.1820,-0.8184,1.1912,0.0000,0.0000,0.0000,0.2191,-0.2914,0.1504,1.1972,0.0000,0.0000,0.0000
0.3,0.1627,0.1740,-0.8139,1.1701,0.0000,0.0000,0.0000,0.2107,-0.2554,0.3074,1.2019,0.0000,0.0000,0.0000
0.4,0.1114,0.2114,-0.3296,1.1614,0.0000,0.0000,0.0000,0.2300,-0.2455,-0.6994,1.2388,0.0000,0.0000,0.0000
0.5,0.0564,0.2465,0.0713,1.1515,0.0000,0.0000,0.0000,0.2401,-0.2535,-1.4042,1.2365,0.0000,0.0000,0.0000
0.6,0.0465,0.2680,-1.1554,1.1757,0.0000,0.0000,0.0000,0.2462,-0.2737,-1.8975,1.2345,0.0000,0.0000,0.0000
0.7,0.0242,0.2832,-0.4433,1.1908,0.0000,0.0000,0.0000,0.2504,-0.2946,-2.2429,1.2410,0.0000,0.0000,0.0000
0.8,0.0004,0.2963,-0.0153,1.1931,0.0000,0.0000,0.0000,0.2617,-0.3158,-2.4846,1.2601,0.0000,0.0000,0.0000
0.9,-0.0147,0.3041,0.2810,1.1922,0.0000,0.0000,0.0000,0.2797,-0.3336,-2.6538,1.2791,0.0000,0.0000,0.0000
1.0,-0.0249,0.3064,0.4583,1.1945,0.0000,0.0000,0.0000,0.2856,-0.3491,-2.7723,1.2951,0.0000,0.0000,0.0000
1.1,-0.0157,0.3086,0.6452,1.2031,0.0000,0.0000,0.0000,0.2874,-0.3617,-2.8552,1.3107,0.0000,0.0000,0.0000
1.2,-0.0075,0.3107,0.7190,1.2001,0.0000,0.0000,0.0000,0.2883,-0.3732,-2.9132,1.3243,0.0000,0.0000,0.0000
1.3,-0.0037,0.3099,0.7484,1.1954,0.0000,0.0000,0.0000,0.2893,-0.3809,-2.9538,1.3320,0.0000,0.0000,0.0000
1.4,0.0019,0.3081,0.7923,1.1975,0.0000,0.0000,0.0000,0.2904,-0.3862,-2.9823,1.3379,0.0000,0.0000,0.0000
1.5,0.0089,0.3073,0.8271,1.1984,0.0000,0.0000,0.0000,0.2909,-0.3909,-3.0022,1.3449,0.0000,0.0000,0.0000
1.6,0.0165,0.3047,0.8493,1.2017,0.0000,0.0000,0.0000,0.2892,-0.3940,-3.0161,1.3512,0.0000,0.0000,0.0000
1.7,0.0235,0.3017,0.8688,1.2055,0.0000,0.0000,0.0000,0.2917,-0.3948,-3.0259,1.3562,0.0000,0.0000,0.0000
1.8,0.0362,0.2981,0.8841,1.2112,0.0000,0.0000,0.0000,0.2907,-0.3951,-3.0327,1.3613,0.0000,0.0000,0.0000
1.9,0.0452,0.2953,0.9026,1.2157,0.0000,0.0000,0.0000,0.2905,-0.3952,-3.0375,1.3644,0.0000,0.0000,0.0000
2.0,0.0557,0.2933,0.9604,1.2228,0.0000,0.0000,0.0000,0.2905,-0.3964,-3.0408,1.3683,0.0000,0.0000,0.0000
2.1,0.0621,0.2914,0.9803,1.2245,0.0000,0.0000,0.0000,0.2931,-0.3976,-3.0432,1.3703,0.0000,0.0000,0.0000
2.2,0.0669,0.2887,1.0075,1.2259,0.0000,0.0000,0.0000,0.2967,-0.3982,-3.0448,1.3703,0.0000,0.0000,0.0000
2.3,0.0735,0.2830,1.0167,1.2316,0.0000,0.0000,0.0000,0.3001,-0.3984,-3.0460,1.3668,0.0000,0.0000,0.0000
2.4,0.0835,0.2772,1.0366,1.2375,0.0000,0.0000,0.0000,0.3032,-0.3980,-3.0468,1.3634,0.0000,0.0000,0.0000
2.5,0.0940,0.2720,1.0311,1.2413,0.0000,0.0000,0.0000,0.3061,-0.3979,-3.0473,1.3602,0.0000,0.0000,0.0000
2.6,0.0963,0.2654,0.9890,1.2452,0.0000,0.0000,0.0000,0.3063,-0.4005,-3.0477,1.3615,0.0000,0.0000,0.0000
2.7,0.0856,0.2602,0.9404,1.2462,0.0000,0.0000,0.0000,0.2997,-0.4045,-3.0480,1.3643,0.0000,0.0000,0.0000
2.8,0.0816,0.2550,0.8887,1.2453,0.0000,0.0000,0.0000,0.2953,-0.4114,-3.0482,1.3664,0.0000,0.0000,0.0000
2.9,0.0788,0.2484,0.8427,1.2458,0.0000,0.0000,0.0000,0.2926,-0.4230,-3.0483,1.3695,0.0000,0.0000,0.0000
3.0,0.0755,0.2398,0.7952,1.2505,0.0000,0.0000,0.0000,0.2932,-0.4374,-3.0165,1.3551,0.0000,0.0000,0.0000
3.1,0.0627,0.2317,0.7295,1.2527,0.0000,0.0000,0.0000,0.2827,-0.4618,-3.0142,1.3150,0.0000,0.0000,0.0000
3.2,0.0557,0.2248,0.6795,1.2622,0.0000,0.0000,0.0000,0.2501,-0.5079,-2.9046,1.2249,0.0000,0.0000,0.0000
3.3,0.0439,0.2193,0.5462,1.2843,0.0000,0.0000,0.0000,0.1148,-0.5539,-2.7472,1.1393,0.0000,0.0000,0.0000
3.4,0.0406,0.2161,0.1810,1.3112,0.0000,0.0000,0.0000,-0.0425,-0.6132,-2.6125,1.0475,0.0000,0.0000,0.0000
3.5,0.0391,0.2113,-0.6125,1.3138,0.0000,0.0000,0.0000,-0.1898,-0.6826,-2.5023,0.8976,0.0000,0.0000,0.0000
3.6,0.0460,0.2095,-1.1143,1.3142,0.0000,0.0000,0.0000,-0.3470,-0.7929,-2.4166,0.7865,0.0000,0.0000,0.0000
3.7,0.0515,0.2084,-1.3472,1.3213,0.0000,0.0000,0.0000,-0.5571,-1.0675,-2.3215,0.7387,0.0000,0.0000,0.0000
3.8,0.0608,0.2134,-1.3392,1.3341,0.0000,0.0000,0.0000,-0.8264,-1.4974,-2.2288,0.7807,0.0000,0.0000,0.0000
3.9,0.0682,0.2241,-1.3118,1.3475,0.0000,0.0000,0.0000,-1.0783,-1.7983,-2.1840,0.8301,0.0000,0.0000,0.0000
4.0,0.0933,0.2448,-0.7890,1.3382,0.0000,0.0000,0.0000,-1.3131,-2.0090,-2.1581,0.8149,0.0000,0.0000,0.0000
4.1,0.1251,0.2697,-0.2886,1.3213,0.0000,0.0000,0.0000,-1.5556,-2.1564,-2.1134,0.8410,0.0000,0.0000,0.0000
4.2,0.1688,0.2926,-1.4073,1.3186,0.0000,0.0000,0.0000,-1.6706,-2.2596,-2.1104,0.8120,0.0000,0.0000,0.0000
4.3,0.1960,0.3080,-2.1904,1.3108,0.0000,0.0000,0.0000,-1.8168,-2.3319,-2.0829,0.8441,0.0000,0.0000,0.0000
4.4,0.2009,0.3228,-1.1678,1.2932,0.0000,0.0000,0.0000,-1.9439,-2.3824,-2.0343,0.8617,0.0000,0.0000,0.0000
4.5,0.2027,0.3388,-0.4749,1.2655,0.0000,0.0000,0.0000,-2.0333,-2.4178,-1.9972,0.8784,0.0000,0.0000,0.0000
4.6,0.2050,0.3519,-0.0094,1.2404,0.0000,0.0000,0.0000,-2.0839,-2.4426,-1.9507,0.9085,0.0000,0.0000,0.0000
4.7,0.2104,0.3610,0.3125,1.2225,0.0000,0.0000,0.0000,-2.1168,-2.4600,-1.9285,0.9018,0.0000,0.0000,0.0000
4.8,0.2013,0.3655,0.4830,1.2010,0.0000,0.0000,0.0000,-2.1437,-2.4721,-1.9120,0.8898,0.0000,0.0000,0.0000
4.9,0.1756,0.3626,0.5691,1.1819,0.0000,0.0000,0.0000,-2.1644,-2.4806,-1.8947,0.8835,0.0000,0.0000,0.0000
5.0,0.1467,0.3566,0.6284,1.1733,0.0000,0.0000,0.0000,-2.1828,-2.4866,-1.8992,0.8884,0.0000,0.0000,0.0000
5.1,0.1246,0.3522,0.6799,1.1704,0.0000,0.0000,0.0000,-2.2181,-2.4907,-1.9040,0.9043,0.0000,0.0000,0.0000
5.2,0.0962,0.3497,0.6856,1.1576,0.0000,0.0000,0.0000,-2.2399,-2.4936,-1.9053,0.9118,0.0000,0.0000,0.0000
5.3,0.0758,0.3476,0.6939,1.1498,0.0000,0.0000,0.0000,-2.2480,-2.4957,-1.9073,0.9142,0.0000,0.0000,0.0000
5.4,0.0644,0.3463,0.7030,1.1428,0.0000,0.0000,0.0000,-2.2558,-2.4971,-1.9116,0.9149,0.0000,0.0000,0.0000
5.5,0.0592,0.3448,0.7127,1.1393,0.0000,0.0000,0.0000,-2.2445,-2.4981,-1.9206,0.9147,0.0000,0.0000,0.0000
5.6,0.0590,0.3438,0.7228,1.1361,0.0000,0.0000,0.0000,-2.2380,-2.4988,-1.9495,0.9217,0.0000,0.0000,0.0000
5.7,0.0618,0.3431,0.7318,1.1334,0.0000,0.0000,0.0000,-2.2419,-2.4993,-1.9585,0.9262,0.0000,0.0000,0.0000
5.8,0.0769,0.3426,0.7468,1.1367,0.0000,0.0000,0.0000,-2.1827,-2.4996,-1.9732,0.9130,0.0000,0.0000,0.0000
5.9,0.1072,0.3412,0.7849,1.1577,0.0000,0.0000,0.0000,-2.0533,-2.4999,-1.9870,0.8632,0.0000,0.0000,0.0000
6.0,0.1266,0.3375,0.8557,1.1898,0.0000,0.0000,0.0000,-1.7784,-2.3266,-2.0427,0.7376,0.0000,0.0000,0.0000
6.1,0.1054,0.3205,0.8056,1.2194,0.0000,0.0000,0.0000,-1.4366,-1.8921,-2.0851,0.6497,0.0000,0.0000,0.0000
6.2,0.0901,0.3038,0.9294,1.2713,0.0000,0.0000,0.0000,-1.1404,-1.5141,-2.0959,0.6317,0.0000,0.0000,0.0000
6.3,0.0808,0.2877,-0.2729,1.2739,0.0000,0.0000,0.0000,-0.8699,-1.2856,-2.0873,0.5756,0.0000,0.0000,0.0000
6.4,0.0731,0.2787,0.1744,1.2900,0.0000,0.0000,0.0000,-0.5194,-1.1606,-2.3757,0.8142,0.0000,0.0000,0.0000
6.5,0.0661,0.2729,0.4542,1.2945,0.0000,0.0000,0.0000,-0.2775,-1.0052,-2.4712,0.9873,0.0000,0.0000,0.0000
6.6,0.0643,0.2722,0.6227,1.2821,0.0000,0.0000,0.0000,-0.0736,-0.8721,-2.4124,1.0810,0.0000,0.0000,0.0000
6.7,0.0628,0.2716,0.7585,1.2706,0.0000,0.0000,0.0000,0.0720,-0.7741,-2.3636,1.1563,0.0000,0.0000,0.0000
6.8,0.0759,0.2731,0.8843,1.2619,0.0000,0.0000,0.0000,0.1576,-0.6909,-2.5062,1.2251,0.0000,0.0000,0.0000
6.9,0.0882,0.2747,0.9845,1.2557,0.0000,0.0000,0.0000,0.2046,-0.6290,-2.6321,1.2804,0.0000,0.0000,0.0000
7.0,0.1141,0.2729,1.0546,1.2573,0.0000,0.0000,0.0000,0.2555,-0.5781,-2.7390,1.3153,0.0000,0.0000,0.0000
7.1,0.1226,0.2724,1.1037,1.2534,0.0000,0.0000,0.0000,0.2824,-0.5359,-2.8319,1.3369,0.0000,0.0000,0.0000
7.2,0.1294,0.2674,1.1381,1.2563,0.0000,0.0000,0.0000,0.3074,-0.5041,-2.8696,1.3461,0.0000,0.0000,0.0000
7.3,0.1300,0.2619,1.1331,1.2561,0.0000,0.0000,0.0000,0.3145,-0.4797,-2.9233,1.3568,0.0000,0.0000,0.0000
7.4,0.1224,0.2577,1.1284,1.2546,0.0000,0.0000,0.0000,0.3221,-0.4615,-2.9609,1.3630,0.0000,0.0000,0.0000
7.5,0.1122,0.2537,1.1042,1.2533,0.0000,0.0000,0.0000,0.3264,-0.4484,-2.9872,1.3665,0.0000,0.0000,0.0000
