timestamp,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.0,-0.3914,1.5698,1.5438,0.3452,-0.8815,1.3554,1.8219,-1.1179,0.7980,1.1276,0.0601,0.4303,0.7493,1.1094
0.1,-0.0301,1.6397,1.4859,0.3635,-1.1012,1.4330,1.7930,-1.1075,0.8643,1.1659,0.0457,0.4424,0.8270,1.1547
0.2,0.2869,1.7513,1.4279,0.3599,-1.2551,1.4873,1.7470,-1.1414,1.0018,1.2597,0.0614,0.4660,0.9588,1.2260
0.3,0.5687,1.8866,1.3937,0.3385,-0.3943,1.5253,1.6922,-0.3816,1.1954,1.3489,0.1361,0.6520,1.1027,1.2551
0.4,0.7496,2.0362,1.3207,0.2792,0.2082,1.5519,1.5668,0.1708,1.4149,1.4030,0.2248,0.9406,1.2561,1.2392
0.5,0.9263,2.1987,1.2884,0.2667,0.6299,1.5705,1.5493,0.5694,1.6293,1.4399,0.2626,1.1426,1.3635,1.2501
0.6,1.1038,2.3245,1.3351,0.3183,-0.0433,1.5836,1.6649,0.8659,1.8299,1.4757,0.2511,1.2840,1.4386,1.3097
0.7,-0.1540,2.4126,1.4731,0.3577,-0.5145,1.5927,1.7570,-0.3206,2.0025,1.5118,0.2213,1.3830,1.4912,1.3671
0.8,0.3587,2.4742,1.4792,0.3496,-0.8443,1.5991,1.8215,0.2439,2.1522,1.5256,0.1998,1.4523,1.5281,1.3884
0.9,-0.6756,2.5173,1.7111,0.3419,-1.0752,1.6036,1.8667,0.6321,2.2783,1.5238,0.1868,1.5008,1.5538,1.3847
1.0,-0.0132,0.9767,0.8134,0.3485,-1.2369,1.6067,1.8983,0.8786,2.3802,1.4744,0.1662,1.5348,1.5719,1.3413
1.1,0.4178,-0.1017,0.3020,0.3589,-1.3500,1.6089,1.9204,1.0322,2.4515,1.3912,0.1531,1.5585,1.5845,1.2541
1.2,0.7291,-0.8566,-0.1178,0.3545,-1.4292,1.6104,1.9359,1.1432,2.5015,1.3232,0.1494,1.5752,1.5934,1.1342
1.3,0.9445,-1.3850,-0.4257,0.3603,-1.4846,1.6115,1.9467,1.2102,2.5364,1.2314,0.1543,1.5868,1.5996,1.0221
1.4,-0.2656,-1.7549,-0.7744,0.3589,-1.5234,1.6122,1.9543,1.2606,2.5609,1.1463,0.1795,1.5950,1.6039,0.9542
1.5,-1.1126,-2.0138,-1.0185,0.3423,-1.5506,0.6444,0.7764,1.3252,2.5780,1.1480,0.2106,1.6007,1.6069,0.9097
1.6,-1.7055,-2.1951,-1.1893,0.3287,-1.5696,-0.0331,-0.0481,1.3828,2.5900,1.1939,0.2471,1.6047,1.6090,0.8831
1.7,-2.1206,-2.3220,-1.3089,0.3243,-1.5829,-0.5074,-0.6253,1.3936,2.5984,1.1051,0.2444,1.6075,1.6105,0.8641
1.8,-1.0144,-2.4108,-1.3841,0.3274,-1.5923,-0.8394,-1.0293,1.3922,2.6043,1.0138,0.2287,1.6094,1.6116,0.8424
1.9,-0.2962,-2.4729,-1.2933,0.3537,-1.5988,-1.0718,-1.3121,1.3830,2.6084,0.9247,0.2164,1.6108,1.6123,0.7927
2.0,0.2113,-2.5165,-1.2428,0.3564,-1.6033,-1.2344,-1.5101,1.3835,2.6113,0.8743,0.1925,1.6118,1.6128,0.7735
2.1,0.5625,-2.5469,-1.1994,0.3562,-0.6381,-1.3483,-1.2411,1.3805,2.6133,0.8395,0.1833,1.6124,1.6132,0.7145
2.2,0.8299,-2.5682,-1.2186,0.3749,-0.9309,-0.4596,-0.2771,1.3768,2.6147,0.8248,0.1788,1.6129,1.6134,0.6246
2.3,0.9303,-2.5832,-1.0882,0.5228,-0.1674,0.1625,-0.0797,1.3485,2.6157,0.8075,0.3503,1.6132,1.6136,0.4490
2.4,0.9805,-2.5936,-0.9754,0.8253,0.2558,0.3162,0.0238,1.3276,2.6164,0.7810,0.6961,1.5513,0.8484,0.2479
2.5,1.0058,-2.6009,-0.8830,1.0737,0.5019,0.3759,0.1056,1.2769,2.6169,0.7018,1.0113,1.3970,0.4399,0.0770
2.6,1.0341,-2.6061,-0.8287,1.2710,0.6623,0.4230,0.1747,1.2280,2.6172,0.6278,1.2280,1.2815,0.1372,-0.0602
2.7,1.0659,-2.6096,-0.8063,1.4632,0.7312,0.4454,0.2462,1.1968,2.6174,0.5751,1.4261,1.1543,-0.0563,-0.1768
2.8,1.0956,-2.6121,-0.8005,1.6403,0.7438,0.4609,0.3246,1.1771,2.6176,0.5300,1.5925,1.0357,-0.1685,-0.2590
2.9,1.1123,-2.6139,-0.7866,1.7764,0.7332,0.4664,0.3907,1.1603,2.6177,0.4926,1.7016,0.9565,-0.2416,-0.3080
3.0,1.1281,-2.6151,-0.7714,1.8306,0.7690,0.4589,0.3910,1.1430,2.6178,0.4559,1.7453,0.9272,-0.2801,-0.3125
3.1,1.1314,-2.6160,-0.7379,1.8610,0.7887,0.4321,0.3749,1.0963,2.6179,0.4037,1.7206,0.9274,-0.3055,-0.3023
3.2,1.0077,-2.6166,-0.6443,1.8221,0.7517,0.4348,0.4249,0.8472,2.5298,0.3674,1.5942,0.9505,-0.5370,-0.4722
3.3,0.9949,-2.6170,-0.6571,1.8169,0.7819,0.4460,0.4234,0.7054,0.9855,0.1962,1.6441,0.6387,-0.6043,-0.8297
3.4,0.9887,-2.6173,-0.6473,1.7673,0.8454,0.4506,0.3903,0.7701,-0.0956,0.1041,1.7436,0.5913,-0.5101,-0.7368
3.5,1.0018,-2.6175,-0.6658,1.7589,0.8860,0.4718,0.3834,0.8562,-0.8523,0.0236,1.7929,0.6177,-0.4632,-0.6444
3.6,1.0192,-2.6177,-0.6821,1.7795,0.8959,0.4898,0.3950,0.9162,-1.3820,-0.0471,1.7951,0.6674,-0.4425,-0.5698
3.7,1.0310,-2.6178,-0.7023,1.8004,0.8986,0.5053,0.4088,0.9536,-1.7528,-0.1074,1.7872,0.7057,-0.4267,-0.5138
3.8,1.0419,-2.6178,-0.7236,1.8223,0.8973,0.5183,0.4230,0.9817,-2.0124,-0.1556,1.7828,0.7317,-0.4198,-0.4793
3.9,1.0544,-2.6179,-0.7330,1.8343,0.8977,0.5108,0.4174,0.9993,-2.1941,-0.1738,1.7648,0.7649,-0.4302,-0.4588
4.0,1.0392,-2.6179,-0.7321,1.8328,0.9030,0.5538,0.4520,1.0093,-2.3212,-0.1767,1.7419,0.7981,-0.4464,-0.4452
4.1,0.7733,-2.3911,-0.6549,1.7192,0.8907,0.6758,0.5823,0.9989,-2.4103,-0.1499,1.7229,0.8135,-0.4287,-0.4150
4.2,0.6024,-2.4493,-0.4968,1.6578,0.7940,0.8176,0.7950,1.0052,-2.4726,-0.1085,1.7451,0.8064,-0.3670,-0.3568
4.3,0.6776,-2.4999,-0.4063,1.7012,0.7529,0.8280,0.8497,1.0384,-2.5162,-0.0923,1.7986,0.7919,-0.3029,-0.2983
4.4,0.7967,-2.5353,-0.3625,1.7732,0.7312,0.8462,0.8916,1.0567,-0.9759,-0.0479,1.8189,0.7956,-0.2827,-0.2770
4.5,0.8907,-2.5601,-0.3311,1.8309,0.7131,0.8593,0.9239,1.0714,0.1022,0.0223,1.8216,0.8153,-0.3040,-0.2860
