timestamp,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.0,0.5509,0.1591,1.1061,1.5704,0.0000,0.0000,0.0000,0.3068,-0.1819,0.2042,1.1279,0.0000,0.0000,0.0000
0.1,0.5784,0.1252,1.1381,1.5191,0.0000,0.0000,0.0000,0.2962,-0.2083,0.0888,1.0986,0.0000,0.0000,0.0000
0.2,0.6052,0.0963,1.1605,1.4858,0.0000,0.0000,0.0000,0.2882,-0.2240,0.0179,1.0785,0.0000,0.0000,0.0000
0.3,0.6206,0.0723,1.1762,1.4522,0.0000,0.0000,0.0000,0.2840,-0.2322,-0.0208,1.0713,0.0000,0.0000,0.0000
0.4,0.5462,0.1372,0.9963,1.4409,0.0000,0.0000,0.0000,0.3093,-0.2139,0.0923,1.1420,0.0000,0.0000,0.0000
0.5,0.4916,0.2017,0.8436,1.4065,0.0000,0.0000,0.0000,0.3460,-0.1991,0.2467,1.1755,0.0000,0.0000,0.0000
0.6,0.4502,0.2445,0.7313,1.3917,0.0000,0.0000,0.0000,0.3729,-0.1900,0.3558,1.1975,0.0000,0.0000,0.0000
0.7,0.3857,0.2932,0.5612,1.3821,0.0000,0.0000,0.0000,0.4150,-0.1791,0.5370,1.2208,0.0000,0.0000,0.0000
0.8,0.3552,0.3023,0.4831,1.3892,0.0000,0.0000,0.0000,0.4295,-0.1763,0.6006,1.2215,0.0000,0.0000,0.0000
0.9,0.3331,0.3069,0.4270,1.4004,0.0000,0.0000,0.0000,0.4363,-0.1761,0.6206,1.2321,0.0000,0.0000,0.0000
1.0,0.3183,0.3120,0.3889,1.4059,0.0000,0.0000,0.0000,0.4412,-0.1782,0.6260,1.2308,0.0000,0.0000,0.0000
1.1,0.3092,0.3144,0.3664,1.4118,0.0000,0.0000,0.0000,0.4400,-0.1805,0.6025,1.2340,0.0000,0.0000,0.0000
1.2,0.2998,0.3149,0.3426,1.4179,0.0000,0.0000,0.0000,0.4381,-0.1820,0.5807,1.2372,0.0000,0.0000,0.0000
1.3,0.2948,0.3144,0.3305,1.4251,0.0000,0.0000,0.0000,0.4341,-0.1830,0.5541,1.2468,0.0000,0.0000,0.0000
1.4,0.2859,0.3136,0.3067,1.4292,0.0000,0.0000,0.0000,0.4402,-0.1840,0.5787,1.2442,0.0000,0.0000,0.0000
1.5,0.2876,0.3159,0.3116,1.4348,0.0000,0.0000,0.0000,0.4432,-0.1855,0.5847,1.2475,0.0000,0.0000,0.0000
1.6,0.3118,0.3198,0.3770,1.4396,0.0000,0.0000,0.0000,0.4457,-0.1901,0.5734,1.2520,0.0000,0.0000,0.0000
