timestamp,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0.0,0.0451,-0.3222,0.0745,1.4074,0.0,0.0,0.0,0.1298,-0.4341,-2.1923,1.0166,0.0,0.0,0.0
0.1,0.1294,-0.1655,0.1382,1.3754,0.0,0.0,0.0,0.1471,-0.3422,-2.3619,1.0384,0.0,0.0,0.0
0.2,0.1836,-0.0559,0.2505,1.3590,0,0,0,0.1624,-0.2483,-2.5065,1.0817,0,0,0
0.3,0.2378,0.0209,0.3800,1.3533,0,0,0,0.1737,-0.1635,-1.0368,1.1179,0,0,0
0.4,0.2630,0.0746,0.2890,1.3718,0,0,0,0.2007,-0.1702,-0.7270,1.1490,0,0,0
0.5,0.2663,0.1122,0.2088,1.3775,0,0,0,0.2210,-0.2136,-0.6348,1.1694,0,0,0
0.6,0.0452,-0.3242,1.3876,1.3831,0,0,0,0.2196,-0.2230,-0.4684,1.1760,0,0,0
0.7,-0.1114,-0.6237,2.2128,1.3908,0,0,0,0.2232,-0.2469,-0.3425,1.1849,0,0,0
0.8,0.0057,-0.3766,1.4758,1.3898,0,0,0,0.2298,-0.2756,-0.2537,1.1898,0,0,0
0.9,-0.1382,-0.6417,2.2746,1.3855,0,0,0,0.2276,-0.2815,-0.1524,1.1940,0,0,0
1.0,-0.0096,-0.3892,1.5758,1.3784,0,0,0,0.2325,-0.3026,-0.0811,1.1927,0,0,0
1.1,0.0806,-0.2124,1.1032,1.3725,0,0,0,0.2344,-0.3117,0.0007,1.1889,0,0,0
1.2,0.1408,-0.0887,0.7814,1.3677,0,0,0,0.2338,-0.3140,0.0992,1.1873,0,0,0
1.3,0.1828,-0.0021,0.5495,1.3649,0,0,0,0.2354,-0.3199,0.1621,1.1813,0,0,0
1.4,0.2135,0.0585,0.3543,1.3624,0,0,0,0.2352,-0.3249,0.1955,1.1717,0,0,0
1.5,0.0089,-0.3286,1.4895,1.3629,0,0,0,0.2324,-0.3227,0.2236,1.1611,0,0,0
