timestamp,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.0,0.2640,0.2970,0.2489,1.3348,0.4262,0.1890,-0.2269,0.0818,-0.9043,-0.1995,1.5466,-0.0566,0.2576,0.0766
0.1,0.2957,0.4766,0.1944,1.3394,0.2743,0.0144,-0.1437,0.1345,-0.5775,-0.2067,1.4888,-0.0387,0.2268,0.0952
0.2,0.3099,0.6864,0.1328,1.3304,0.1205,-0.3743,-0.0854,0.1878,-0.3487,-0.2137,1.4629,-0.1143,0.2306,0.1787
0.3,0.2880,0.2766,0.0878,1.2941,0.0136,-0.6803,-1.2279,0.2200,-0.1886,-0.2114,1.4450,-0.3016,0.1982,0.2921
0.4,0.2925,0.3087,0.1127,1.3495,0.1584,-0.3914,-0.9410,0.1369,-0.6894,-0.2105,1.4477,-0.4944,0.2138,0.2763
0.5,0.3270,0.4399,0.1422,1.3782,0.3126,-0.1936,-0.7134,0.0899,-0.9886,-0.2085,1.4771,-0.5979,0.2481,0.2591
0.6,0.3476,0.5124,0.1692,1.3949,0.4877,-0.0418,-0.5714,0.0504,-1.2285,-0.2076,1.5066,-0.6623,0.2824,0.2360
0.7,0.3593,0.5527,0.1906,1.4079,0.6288,0.0701,-0.4784,0.0246,-1.3790,-0.2049,1.5345,-0.7059,0.3115,0.2201
0.8,0.3721,0.5969,0.2158,1.4384,0.6026,0.1946,-0.3340,-0.0012,-1.5408,-0.2025,1.5825,-0.7176,0.3578,0.1958
0.9,0.3811,0.6306,0.2250,1.4634,0.5220,0.2490,-0.2497,-0.0068,-1.6197,-0.2076,1.6169,-0.6207,0.3876,0.1713
1.0,0.3801,0.6292,0.2276,1.4692,0.4882,0.2628,-0.2259,-0.0079,-1.6370,-0.2086,1.6306,-0.5007,0.3864,0.1463
1.1,0.3783,0.6247,0.2293,1.4718,0.4518,0.2685,-0.2062,-0.0097,-1.6491,-0.2083,1.6435,-0.3748,0.3791,0.1187
1.2,0.3788,0.6266,0.2311,1.4725,0.4147,0.2675,-0.1860,-0.0099,-1.6554,-0.2086,1.6530,-0.2778,0.3735,0.0984
1.3,0.3792,0.6277,0.2326,1.4734,0.3879,0.2674,-0.1719,-0.0103,-1.6638,-0.2093,1.6591,-0.1993,0.3664,0.0802
1.4,0.3803,0.6309,0.2339,1.4737,0.3679,0.2661,-0.1603,-0.0108,-1.6683,-0.2095,1.6693,-0.1483,0.3693,0.0727
1.5,0.3794,0.6279,0.2348,1.4726,0.3470,0.2629,-0.1510,-0.0119,-1.6719,-0.2089,1.6741,-0.1188,0.3690,0.0666
1.6,0.3779,0.6230,0.2356,1.4713,0.3459,0.2643,-0.1494,-0.0137,-1.6613,-0.2050,1.6367,-0.1929,0.3399,0.0708
1.7,0.3933,0.6741,0.2320,1.4647,0.3081,0.2261,-0.1064,0.0033,-1.4885,-0.1801,1.5758,-0.3336,0.2740,0.1216
1.8,0.3947,0.6859,0.2263,1.4653,0.2972,0.2183,-0.1011,0.0129,-1.3576,-0.1416,1.4746,-0.3470,0.1383,0.0991
1.9,0.4045,0.7232,0.2211,1.4726,0.3363,0.2285,-0.1072,0.0084,-1.2824,-0.0899,1.3820,-0.3922,0.0006,0.0912
2.0,0.4064,0.7503,0.2062,1.4876,0.2985,0.2208,-0.1047,-0.0185,-1.2141,0.0131,1.1934,-0.5058,-0.2777,0.0958
2.1,0.4105,0.7800,0.1961,1.4855,0.2027,0.1514,-0.0581,-0.0141,-1.1595,0.0607,1.1275,-0.5212,-0.3885,0.0933
2.2,0.4123,0.8052,0.1849,1.4907,0.1335,0.1118,-0.0255,-0.0096,-1.1171,0.0978,1.0871,-0.5261,-0.4647,0.0885
2.3,0.4092,0.8088,0.1761,1.4922,0.0924,0.0918,-0.0096,-0.0109,-1.0961,0.1230,1.0653,-0.5295,-0.5115,0.0808
2.4,0.4065,0.8120,0.1681,1.4847,0.0495,0.0540,0.0113,0.0004,-1.0462,0.1549,1.0391,-0.5350,-0.5668,0.0902
2.5,0.4087,0.8235,0.1659,1.4769,0.0111,0.0018,0.0231,0.0036,-1.0326,0.1627,1.0344,-0.5376,-0.5783,0.0944
2.6,0.4142,0.8458,0.1643,1.4757,-0.0193,-0.0377,0.0314,0.0040,-1.0273,0.1656,1.0351,-0.5338,-0.5809,0.0900
2.7,0.4130,0.8409,0.1645,1.4710,-0.0447,-0.0677,0.0371,0.0038,-1.0270,0.1616,1.0612,-0.5305,-0.5509,0.0915
2.8,0.4071,0.7875,0.1848,1.4653,0.0233,0.0134,0.0269,-0.0544,-1.2621,0.0641,1.2356,-0.5791,-0.2758,0.0728
2.9,0.4012,0.7487,0.1987,1.4692,0.0818,0.0771,-0.0095,-0.0563,-1.3794,-0.0025,1.3661,-0.5480,-0.0826,0.0786
3.0,0.3978,0.7205,0.2117,1.4727,0.1003,0.1165,-0.0251,-0.0503,-1.4858,-0.0614,1.4852,-0.3512,0.0618,0.0680
3.1,0.4034,0.7223,0.2224,1.4747,0.1265,0.1424,-0.0300,-0.0410,-1.5800,-0.1101,1.5609,-0.2390,0.1713,0.0669
3.2,0.4127,0.7350,0.2324,1.4658,0.1146,0.1226,-0.0059,-0.0380,-1.6404,-0.1407,1.6127,-0.1951,0.2485,0.0687
3.3,0.4188,0.7392,0.2423,1.4562,0.1227,0.1182,0.0111,-0.0335,-1.6896,-0.1651,1.6477,-0.1412,0.3003,0.0670
3.4,0.4251,0.7477,0.2490,1.4537,0.1521,0.1331,0.0100,-0.0252,-1.6935,-0.1813,1.6727,-0.0812,0.3350,0.0673
3.5,0.4337,0.7647,0.2533,1.4547,0.1885,0.1508,0.0042,-0.0168,-1.6811,-0.1926,1.6839,-0.0714,0.3604,0.0737
3.6,0.4334,0.7603,0.2566,1.4608,0.1579,0.1475,0.0162,-0.0118,-1.6881,-0.2022,1.6898,-0.0724,0.3785,0.0776
3.7,0.4344,0.7598,0.2593,1.4655,0.1315,-0.3151,-1.1568,-0.0081,-1.6959,-0.2095,1.6845,-0.0627,0.3785,0.0719
3.8,0.4452,0.7663,0.2756,1.4157,0.3127,-0.6388,-1.9349,-0.0061,-1.7071,-0.2150,1.6766,-0.0761,0.3782,0.0704
3.9,0.4796,0.7876,0.3170,1.3565,0.4421,-0.8655,-2.5124,-0.0056,-1.6995,-0.2156,1.6753,-0.0816,0.3783,0.0697
4.0,0.5019,0.7740,0.3753,1.2890,0.5528,-1.0241,-2.9087,-0.0062,-1.6570,-0.2080,1.6862,0.0127,0.3557,0.0457
4.1,0.5369,0.7633,0.4488,1.2189,0.6196,-1.1352,-3.2042,-0.0010,-1.5780,-0.1985,1.7015,0.1289,0.3332,0.0250
4.2,0.5506,0.7328,0.5195,1.1292,0.6783,-1.2104,-3.4111,0.0043,-1.5100,-0.1912,1.7109,0.2347,0.3019,-0.0038
4.3,0.5561,0.7075,0.5692,1.0564,0.7201,-1.2538,-3.5559,0.0059,-1.4719,-0.1851,1.7177,0.2979,0.2830,-0.0204
4.4,0.5693,0.6985,0.6043,1.0036,0.7541,-1.2798,-3.6573,0.0052,-1.4542,-0.1804,1.7233,0.3260,0.2774,-0.0246
4.5,0.5790,0.6918,0.6303,0.9672,0.7813,-1.2986,-3.7283,0.0046,-1.4426,-0.1771,1.7234,0.3323,0.2734,-0.0263
4.6,0.5812,0.6827,0.6487,0.9450,0.7983,-1.3164,-3.7779,0.0031,-1.4400,-0.1748,1.7227,0.3212,0.2753,-0.0227
4.7,0.5766,0.6707,0.6609,0.9271,0.8086,-1.3290,-3.8127,0.0002,-1.4474,-0.1731,1.7219,0.2968,0.2806,-0.0163
4.8,0.5705,0.6599,0.6690,0.9154,0.8145,-1.3397,-3.8371,-0.0024,-1.4545,-0.1716,1.7199,0.2753,0.2829,-0.0126
4.9,0.5654,0.6507,0.6761,0.9110,0.8175,-1.3500,-3.8521,-0.0038,-1.4552,-0.1698,1.7164,0.2707,0.2767,-0.0165
5.0,0.5638,0.6457,0.6820,0.9163,0.8167,-1.3633,-3.8628,-0.0018,-1.4388,-0.1683,1.7106,0.2811,0.2638,-0.0256
5.1,0.5695,0.6556,0.6740,0.9344,0.8183,-1.3726,-3.8709,-0.0059,-1.4545,-0.1669,1.7113,0.2677,0.2650,-0.0245
5.2,0.5803,0.6846,0.6463,1.0264,0.7762,-1.3791,-3.8778,-0.0142,-1.4940,-0.1671,1.7164,0.2192,0.2824,-0.0123
5.3,0.5388,0.6579,0.5991,1.1438,0.7126,-1.3837,-3.8307,-0.0172,-1.5153,-0.1689,1.7197,0.2056,0.2918,-0.0068
5.4,0.5005,0.6499,0.5200,1.2530,0.4443,-1.3869,-3.8496,-0.0185,-1.5443,-0.1742,1.7200,0.1954,0.3005,-0.0039
5.5,0.4519,0.6885,0.3672,1.3792,0.1784,-0.6915,-1.8749,-0.0140,-1.5770,-0.1870,1.7199,0.0266,0.3615,0.0482
5.6,0.4417,0.7167,0.3195,1.4084,0.1349,-0.4642,-1.2973,-0.0096,-1.5770,-0.1920,1.7187,-0.0416,0.3841,0.0697
5.7,0.4347,0.7374,0.2857,1.4296,0.0727,-0.3326,-0.8929,-0.0064,-1.5826,-0.1968,1.7173,-0.0892,0.4005,0.0846
5.8,0.4313,0.7536,0.2639,1.4462,-0.0061,-0.2901,-0.6099,-0.0034,-1.5998,-0.2032,1.7112,-0.1581,0.4148,0.1000
5.9,0.4286,0.7649,0.2481,1.4585,-0.0428,-0.2270,-0.4117,-0.0027,-1.6243,-0.2082,1.6818,-0.2481,0.4044,0.1117
6.0,0.4231,0.7612,0.2375,1.4650,-0.0743,-0.1879,-0.2730,-0.0183,-1.6902,-0.2079,1.6101,-0.3263,0.3409,0.0994
6.1,0.4201,0.7653,0.2270,1.4802,-0.0748,-0.1140,-0.1759,-0.0351,-1.7100,-0.1975,1.4852,-0.4152,0.2155,0.0932
6.2,0.4118,0.7522,0.2167,1.4936,-0.0850,-0.0560,-0.1123,-0.0570,-1.6843,-0.1689,1.3397,-0.4936,0.0489,0.0838
6.3,0.4075,0.7498,0.2083,1.5041,-0.0937,-0.0184,-0.0654,-0.0714,-1.6197,-0.1289,1.1872,-0.5422,-0.1413,0.0602
6.4,0.4396,0.8776,0.1906,1.5183,-0.1653,-0.1848,-0.0063,-0.0688,-1.4403,-0.0448,0.9803,-0.5779,-0.4886,-0.0078
6.5,0.4590,0.9702,0.1735,1.5246,-0.2296,-0.4579,0.0227,-0.0709,-1.3462,0.0087,0.8789,-0.5995,-0.6716,-0.0383
6.6,0.4627,1.0002,0.1651,1.5248,-0.2589,-0.6271,0.0311,-0.0702,-1.3152,0.0251,0.8497,-0.6036,-0.7238,-0.0476
6.7,0.4631,1.0220,0.1566,1.5254,-0.2804,-0.8564,-1.1464,-0.0720,-1.2995,0.0356,0.8293,-0.6095,-0.7594,-0.0528
6.8,0.4610,1.0314,0.1501,1.5253,-0.2950,-1.0178,-1.9706,-0.0750,-1.2936,0.0420,0.8150,-0.6156,-0.7799,-0.0540
6.9,0.4600,1.0439,0.1438,1.5321,-0.2943,-1.1307,-2.5476,-0.0748,-1.2843,0.0464,0.8049,-0.6122,-0.7991,-0.0691
7.0,0.4580,1.0532,0.1379,1.5424,-0.2469,-1.2098,-2.9515,-0.0741,-1.2767,0.0494,0.7979,-0.6042,-0.8057,-0.0848
7.1,0.4434,1.0106,0.1344,1.5519,-0.2259,-1.2652,-3.2283,-0.0800,-1.2880,0.0494,0.8310,-0.5947,-0.7473,-0.0773
7.2,0.4285,0.9459,0.1392,1.5549,-0.2664,-0.9698,-2.2446,-0.0868,-1.3172,0.0381,0.9593,-0.5825,-0.5881,-0.0494
7.3,0.4191,0.8984,0.1459,1.5500,-0.2603,-0.7074,-1.5560,-0.0906,-1.3860,0.0028,1.1302,-0.5593,-0.3687,-0.0225
7.4,0.4131,0.8618,0.1538,1.5412,-0.2444,-0.5203,-1.0741,-0.0830,-1.4741,-0.0463,1.2874,-0.5024,-0.1580,0.0029
7.5,0.4098,0.8358,0.1614,1.5346,-0.2208,-0.3732,-0.7367,-0.0677,-1.5574,-0.0941,1.4163,-0.4383,0.0217,0.0320
7.6,0.4051,0.7914,0.1777,1.5275,-0.1396,-0.1350,-0.3492,-0.0426,-1.6617,-0.1574,1.5645,-0.4445,0.2503,0.0850
7.7,0.4051,0.7813,0.1834,1.5254,-0.1175,-0.0686,-0.2338,-0.0374,-1.6991,-0.1754,1.6043,-0.4492,0.3130,0.0982
7.8,0.4053,0.7712,0.1902,1.5229,-0.0932,-0.0149,-0.1577,-0.0340,-1.7240,-0.1876,1.6305,-0.4715,0.3571,0.1098
7.9,0.4167,0.7616,0.2222,1.4066,0.2998,-0.7184,-1.9740,-0.0241,-1.7327,-0.2031,1.6534,-0.4825,0.4012,0.1257
8.0,0.4241,0.7317,0.2694,1.2965,0.4587,-0.9212,-2.5067,-0.0211,-1.7190,-0.2050,1.6508,-0.4793,0.4011,0.1283
8.1,0.4209,0.6824,0.3240,1.1764,0.5746,-1.0631,-2.8792,-0.0196,-1.6992,-0.2037,1.6467,-0.4586,0.3936,0.1251
8.2,0.4218,0.6458,0.3785,1.0716,0.6506,-1.1625,-3.1566,-0.0164,-1.6655,-0.2011,1.6416,-0.4146,0.3803,0.1174
8.3,0.4333,0.6338,0.4217,0.9915,0.7048,-1.2320,-3.3666,-0.0129,-1.6297,-0.1982,1.6372,-0.3747,0.3679,0.1109
8.4,0.4410,0.6235,0.4549,0.9393,0.7410,-1.2807,-3.5125,-0.0130,-1.6148,-0.1954,1.6335,-0.3412,0.3558,0.1018
8.5,0.4450,0.6165,0.4734,0.9034,0.7735,-1.3148,-3.6049,-0.0148,-1.6114,-0.1930,1.6309,-0.3217,0.3470,0.0946
8.6,0.4474,0.6125,0.4837,0.8777,0.8008,-1.3386,-3.6646,-0.0162,-1.6071,-0.1908,1.6298,-0.3097,0.3413,0.0901
8.7,0.4449,0.6044,0.4887,0.8573,0.8197,-1.3553,-3.7026,-0.0182,-1.6069,-0.1888,1.6291,-0.2999,0.3364,0.0857
8.8,0.4411,0.5969,0.4897,0.8407,0.8521,-1.3670,-3.7065,-0.0209,-1.6118,-0.1872,1.6278,-0.2801,0.3285,0.0771
8.9,0.4351,0.5867,0.4899,0.8273,0.8778,-1.3752,-3.7020,-0.0232,-1.6162,-0.1859,1.6269,-0.2659,0.3227,0.0706
9.0,0.4280,0.5753,0.4888,0.8209,0.8914,-1.3809,-3.6992,-0.0239,-1.6143,-0.1847,1.6265,-0.2492,0.3174,0.0651
9.1,0.4232,0.5689,0.4849,0.8137,0.9013,-1.3850,-3.6981,-0.0261,-1.6190,-0.1836,1.6277,-0.2452,0.3160,0.0623
9.2,0.4127,0.5537,0.4794,0.8598,0.8899,-1.3878,-3.6928,-0.0317,-1.6294,-0.1805,1.6349,-0.2370,0.3167,0.0572
9.3,0.4010,0.5373,0.4698,0.9976,0.8362,-1.3897,-3.6798,-0.0312,-1.6295,-0.1810,1.6411,-0.2245,0.3216,0.0573
9.4,0.3961,0.5397,0.4441,1.1596,0.4573,-1.1650,-2.5606,-0.0280,-1.6385,-0.1861,1.6491,-0.2875,0.3472,0.0774
9.5,0.3892,0.5474,0.3994,1.2557,0.4092,-0.7163,-1.8358,-0.0247,-1.6550,-0.1926,1.6552,-0.3347,0.3693,0.0932
9.6,0.3985,0.6296,0.3183,1.3804,0.3124,-0.2247,-0.9451,-0.0187,-1.6793,-0.2029,1.6673,-0.4728,0.4123,0.1281
9.7,0.3995,0.6460,0.2970,1.4240,0.2182,-0.0971,-0.6698,-0.0160,-1.6896,-0.2073,1.6732,-0.4918,0.4266,0.1361
9.8,0.4003,0.6550,0.2850,1.4595,0.0861,-0.0549,-0.4537,-0.0145,-1.7019,-0.2109,1.6786,-0.4956,0.4373,0.1400
9.9,0.4039,0.6644,0.2817,1.4838,0.0155,-0.0013,-0.3024,-0.0135,-1.7361,-0.2173,1.6793,-0.5140,0.4473,0.1448
