timestamp,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.0,1.4392,-2.6144,-1.1725,0.4135,-1.6140,-1.6140,-1.9720,1.3276,2.6107,1.0489,0.1848,1.6140,1.6140,0.9285
0.1,1.4373,-2.6147,-1.1744,0.4151,-1.6140,-1.6140,-1.9720,1.3266,2.6071,1.0591,0.1837,1.6140,1.6140,0.9388
0.2,1.4360,-2.6151,-1.1761,0.4163,-1.6140,-1.6140,-1.9720,1.3251,2.6032,1.0688,0.1824,1.6140,1.6140,0.9494
0.3,1.4354,-2.6154,-1.1776,0.4170,-1.6140,-1.6140,-1.9720,1.3235,2.5990,1.0784,0.1808,1.6140,1.6140,0.9610
0.4,1.4354,-2.6156,-1.1789,0.4173,-1.6140,-1.6140,-1.9720,1.3216,2.5950,1.0874,0.1786,1.6140,1.6140,0.9726
0.5,1.4360,-2.6159,-1.1801,0.4169,-1.6140,-1.6140,-1.9720,1.3198,2.5913,1.0956,0.1763,1.6140,1.6140,0.9843
0.6,1.4367,-2.6161,-1.1812,0.4167,-1.6140,-1.6140,-1.9720,1.3184,2.5882,1.1036,0.1738,1.6140,1.6140,0.9943
0.7,1.4373,-2.6163,-1.1822,0.4170,-1.6140,-1.6140,-1.9720,1.3176,2.5860,1.1109,0.1716,1.6140,1.6140,1.0023
0.8,1.4387,-2.6164,-1.1831,0.4148,-1.6140,-1.6140,-1.9720,1.3182,2.5846,1.1193,0.1735,1.6140,1.6140,0.9968
0.9,1.4409,-2.6166,-1.1839,0.4106,-1.6140,-1.6140,-1.9720,1.3202,2.5839,1.1287,0.1760,1.6140,1.6140,0.9912
1.0,1.4423,-2.6167,-1.1846,0.4047,-1.6140,-1.6140,-1.9720,1.3238,2.5838,1.1391,0.1787,1.6140,1.6140,0.9855
1.1,1.4440,-2.6169,-1.1805,0.3986,-1.6140,-1.6140,-1.9720,1.3283,2.5843,1.1476,0.1816,1.6140,1.6140,0.9734
1.2,1.4462,-2.6170,-1.1767,0.3920,-1.6140,-1.6140,-1.9720,1.3331,2.5854,1.1553,0.1833,1.6140,1.6140,0.9470
1.3,1.4473,-2.6171,-1.1739,0.3856,-1.6140,-1.6140,-1.9720,1.3371,2.5863,1.1621,0.1846,1.6140,1.6140,0.8986
1.4,1.4491,-2.6172,-1.1758,0.3807,-1.6140,-1.6140,-1.9720,1.3403,2.5871,1.1683,0.1867,1.6140,1.6140,0.8234
1.5,1.4508,-2.6161,-1.1828,0.3753,-1.6140,-1.6140,-1.9720,1.3425,2.5879,1.1739,0.1886,1.6140,1.6140,0.7275
1.6,1.4532,-2.6126,-1.1932,0.3706,-1.6140,-1.6140,-1.9720,1.3432,2.5885,1.1789,0.1910,1.6140,1.6140,0.6275
1.7,1.4545,-2.6064,-1.2046,0.3667,-1.6140,-1.6140,-1.9692,1.3429,2.5892,1.1834,0.1931,1.6140,1.6140,0.5275
