timestamp,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.0,-0.4207,0.2387,-0.1371,1.0631,-0.1906,-0.0798,-0.3653,0.2489,-0.0873,0.5136,0.9606,0.4412,-1.5515,-2.9119
0.1,-0.3732,0.2358,-0.0960,1.0887,-0.0357,-0.0118,-0.2557,0.2405,-0.1192,0.3704,1.0000,0.3398,-1.5517,-2.9305
0.2,-0.3558,0.2177,-0.0672,1.1011,0.0761,0.0151,-0.1790,0.2309,-0.1471,0.2454,1.0477,0.2883,-1.5519,-2.9179
0.3,-0.3206,0.2104,-0.0470,1.1272,0.0793,-0.0094,-0.1253,0.2209,-0.1683,0.1508,1.0891,0.2443,-1.5520,-2.9019
0.4,-0.3698,0.2704,-0.2366,1.1466,-0.1760,-0.1628,-0.1245,0.2596,-0.1721,0.2005,1.1466,0.3255,-0.5834,-2.8763
0.5,-0.4181,0.3234,-0.4187,1.1519,-0.3252,-0.2521,-0.1461,0.2792,-0.1587,0.3061,1.1829,0.3580,0.0946,-2.8426
0.6,-0.4497,0.3629,-0.5418,1.1519,-0.4316,-0.3181,-0.1559,0.2920,-0.1451,0.3957,1.2177,0.3883,0.5692,-2.8237
0.7,-0.4800,0.3881,-0.6489,1.1596,-0.5327,-0.3596,-0.1672,0.2959,-0.1304,0.4618,1.2526,0.3743,0.9014,-2.8007
0.8,-0.5287,0.4139,-0.8129,1.1827,-0.6148,-0.3802,-0.2162,0.3100,-0.1095,0.5875,1.3112,0.3067,1.2967,-2.7803
0.9,-0.5595,0.4288,-0.9130,1.1789,-0.7095,-0.4129,-0.2215,0.3281,-0.0997,0.6925,1.3373,0.2032,1.4904,-2.7641
1.0,-0.5581,0.4354,-0.9129,1.1792,-0.7072,-0.4186,-0.2220,0.3351,-0.1007,0.7167,1.3429,0.1800,1.5463,-2.7621
1.1,-0.5437,0.4482,-0.8807,1.1871,-0.7076,-0.4192,-0.2121,0.3551,-0.1058,0.7908,1.3392,0.1057,1.6127,-2.7504
1.2,-0.5323,0.4494,-0.8503,1.1953,-0.7045,-0.4182,-0.2058,0.3610,-0.1071,0.8137,1.3425,0.1253,1.6319,-2.7636
1.3,-0.5125,0.4478,-0.7948,1.2105,-0.7241,-0.4236,-0.1868,0.3719,-0.1099,0.8599,1.3416,0.1417,1.6547,-2.7785
1.4,-0.4979,0.4454,-0.7535,1.2190,-0.7495,-0.4341,-0.1675,0.3756,-0.1144,0.8595,1.3350,0.1801,1.6658,-2.7877
1.5,-0.4836,0.4451,-0.7159,1.2093,-0.8172,-0.4833,-0.1135,0.3754,-0.1164,0.8468,1.3034,0.3262,1.6713,-2.8096
1.6,-0.4781,0.4436,-0.6999,1.2054,-0.8492,-0.5076,-0.0885,0.3757,-0.1149,0.8545,1.2786,0.4018,1.6729,-2.8207
1.7,-0.4839,0.4419,-0.7132,1.2036,-0.8699,-0.5142,-0.0861,0.3703,-0.0987,0.8796,1.2269,0.4399,1.6740,-2.8081
1.8,-0.4851,0.4388,-0.7130,1.2066,-0.8868,-0.5183,-0.0837,0.3609,-0.0644,0.9227,1.1470,0.4822,1.6748,-2.7878
1.9,-0.4873,0.4317,-0.7114,1.2132,-0.8907,-0.5154,-0.0917,0.3515,-0.0064,0.9865,1.0642,0.5109,1.6753,-2.7619
