timestamp,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.0,0.1760,0.1893,-0.1181,1.2657,0.6202,0.2911,-0.1899,0.1782,-0.1726,0.0990,1.3869,1.2695,1.8560,2.9308
0.1,0.2072,0.1742,-0.0827,1.2392,0.6649,0.3392,-0.1212,0.1728,-0.1941,0.0151,1.3892,1.3654,1.8312,2.9852
0.2,0.2275,0.1542,-0.0579,1.1861,0.6865,0.3984,-0.0730,0.1684,-0.2087,-0.0420,1.3836,1.4203,1.8254,3.0282
0.3,0.2548,0.1407,-0.0405,1.1490,0.7008,0.4491,-0.0394,0.1651,-0.2175,-0.0769,1.3810,1.4426,1.8189,3.0519
0.4,0.1919,0.2181,-0.1484,1.2242,0.6761,0.3409,-0.0601,0.2122,-0.2054,0.0402,1.4413,1.3955,1.6695,3.0154
0.5,0.1107,0.2809,-0.3081,1.2615,0.5803,0.2419,-0.0972,0.2442,-0.1922,0.1503,1.4764,1.3252,1.5612,2.9947
0.6,-0.0183,0.3499,-0.5714,1.3041,0.3585,0.1074,-0.1486,0.2989,-0.1826,0.3127,1.5120,1.1867,1.4515,2.9990
0.7,-0.0831,0.3724,-0.6941,1.3245,0.1163,-0.0026,-0.1365,0.3309,-0.1780,0.4230,1.5363,1.0921,1.4118,3.0154
0.8,-0.1150,0.3768,-0.7500,1.3529,0.0657,-0.0233,-0.1640,0.3419,-0.1735,0.4664,1.5512,1.0400,1.3924,3.0203
0.9,-0.1261,0.3789,-0.7648,1.3564,-0.0077,-0.0607,-0.1515,0.3502,-0.1687,0.5255,1.5547,1.0494,1.3720,3.0175
1.0,-0.1242,0.3760,-0.7486,1.3584,-0.0408,-0.0872,-0.1376,0.3621,-0.1649,0.6214,1.5497,1.1103,1.3464,3.0073
1.1,-0.1178,0.3660,-0.7163,1.3659,-0.0323,-0.0974,-0.1361,0.3722,-0.1641,0.6934,1.5490,1.1739,1.3337,3.0008
1.2,-0.1104,0.3558,-0.6823,1.3715,-0.0591,-0.1180,-0.1216,0.3827,-0.1630,0.7852,1.5262,1.1632,1.3120,3.0028
1.3,-0.1071,0.3500,-0.6655,1.3706,-0.1339,-0.1565,-0.0882,0.3777,-0.1260,0.8990,1.4136,1.0744,1.1654,2.9741
1.4,-0.1135,0.3440,-0.6771,1.3675,-0.2521,-0.2166,-0.0361,0.3394,-0.0332,0.9540,1.2868,0.9776,0.9418,2.9200
1.5,-0.1391,0.3340,-0.7461,1.3921,-0.1963,-0.1457,-0.1194,0.3114,0.0866,1.0347,1.2113,0.9182,0.7448,2.8907
1.6,-0.1412,0.3302,-0.7460,1.4037,-0.1914,-0.1251,-0.1403,0.2712,0.1644,1.0434,1.1653,0.8581,0.6202,2.8677
1.7,-0.1482,0.3310,-0.7686,1.4092,-0.2112,-0.1131,-0.1522,0.2363,0.2163,1.0353,1.1345,0.7969,0.5420,2.8621
1.8,-0.1719,0.3340,-0.8484,1.4116,-0.1743,-0.0767,-0.1959,0.2184,0.2532,1.0397,1.1158,0.7605,0.4902,2.8639
1.9,-0.1884,0.3376,-0.9049,1.4039,-0.2050,-0.0736,-0.2044,0.2135,0.2751,1.0505,1.1100,0.7479,0.4643,2.8665
2.0,-0.1891,0.3425,-0.9096,1.4085,-0.2737,-0.0776,-0.1917,0.2122,0.2846,1.0565,1.1165,0.7505,0.4602,2.8652
2.1,-0.1857,0.3472,-0.9012,1.4151,-0.2951,-0.0719,-0.1883,0.2303,0.2858,1.0855,1.1329,0.7678,0.4768,2.8768
2.2,-0.1862,0.3516,-0.9049,1.4259,-0.1504,-0.0267,-0.2278,0.2548,0.2281,1.0790,1.1881,0.7932,0.5920,2.8969
2.3,-0.1853,0.3538,-0.9031,1.4287,-0.0692,-0.0095,-0.2430,0.2710,0.1682,1.0508,1.2317,0.8100,0.6975,2.9135
2.4,-0.1854,0.3558,-0.9042,1.4259,-0.0623,-0.0078,-0.2446,0.2848,0.0973,0.9772,1.2695,0.8130,0.8105,2.9325
2.5,-0.1794,0.3614,-0.8892,1.4072,-0.0624,-0.0265,-0.2272,0.3270,-0.0215,0.8938,1.3688,0.8345,1.0386,2.9888
2.6,-0.1554,0.3725,-0.8280,1.3814,0.0210,-0.0430,-0.2038,0.3591,-0.0945,0.8606,1.4498,0.9489,1.1891,3.0132
2.7,-0.1393,0.3784,-0.7867,1.3703,0.1625,-0.0325,-0.2107,0.3766,-0.1321,0.8485,1.4900,1.0561,1.2582,3.0146
2.8,-0.1285,0.3792,-0.7571,1.3669,0.2620,-0.0235,-0.2172,0.3856,-0.1521,0.8369,1.5084,1.1155,1.2913,3.0134
2.9,-0.1222,0.3765,-0.7365,1.3671,0.3069,-0.0211,-0.2189,0.3933,-0.1594,0.8841,1.5149,1.1421,1.3044,3.0157
3.0,-0.1174,0.3716,-0.7181,1.3721,0.3294,-0.0187,-0.2192,0.3999,-0.1627,0.9434,1.5128,1.1721,1.3030,3.0122
3.1,-0.1188,0.3692,-0.7193,1.3799,0.3956,-0.0043,-0.2321,0.4023,-0.1633,0.9678,1.5078,1.1948,1.2947,3.0045
3.2,-0.1283,0.3881,-0.7601,1.4327,0.5747,0.0894,-0.2496,0.4013,-0.1629,0.9594,1.5084,1.1920,1.2947,3.0042
3.3,-0.1275,0.4632,-0.8081,1.4125,0.6205,0.2685,-0.2517,0.3968,-0.1605,0.9256,1.5185,1.1398,1.3099,3.0184
3.4,0.0157,0.5792,-0.6969,1.4044,0.9739,0.6724,-0.1154,0.3939,-0.1549,0.9265,1.5174,1.0498,1.3145,3.0372
3.5,0.1814,0.7093,-0.6208,1.4165,1.1937,0.0956,-2.0482,0.3902,-0.1445,0.9430,1.5126,0.9682,1.3081,3.0512
3.6,0.2286,0.8044,-0.6308,1.4244,1.2811,-0.8650,-2.9953,0.3839,-0.1339,0.9390,1.5133,0.9153,1.3029,3.0569
3.7,0.2425,0.8353,-0.6361,1.4180,1.3452,-1.1420,-3.2682,0.3829,-0.1283,0.9529,1.5147,0.9093,1.2993,3.0578
3.8,0.2497,0.8578,-0.6420,1.4104,1.4007,-1.3358,-3.4593,0.3831,-0.1233,0.9722,1.5166,0.9077,1.2966,3.0590
3.9,0.2521,0.8758,-0.6494,1.4058,1.4283,-1.4715,-3.5931,0.3866,-0.1188,1.0115,1.5178,0.9268,1.2923,3.0589
4.0,0.2552,0.8963,-0.6576,1.4000,1.4782,-1.6329,-3.7523,0.3920,-0.1122,1.0704,1.5216,0.9479,1.2892,3.0614
4.1,0.2575,0.9060,-0.6607,1.3931,1.4983,-1.7120,-3.8303,0.3945,-0.1084,1.1001,1.5248,0.9504,1.2894,3.0647
4.2,0.2664,0.9050,-0.6532,1.3917,1.5110,-1.7508,-3.8685,0.3967,-0.1074,1.1192,1.5240,0.9669,1.2865,3.0631
4.3,0.1495,0.8085,-0.6996,1.4378,1.3895,-1.0917,-3.8029,0.3956,-0.1114,1.1013,1.5234,0.9724,1.2889,3.0606
