timestamp,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.0,0.2053,0.5723,0.1611,1.2876,0.0127,0.0611,0.0344,0.2067,-0.481,-0.1902,1.3041,0.0189,0.0144,0.0243
0.1,0.108,0.5384,0.1502,1.2046,0.0046,0.0581,0.0329,0.1288,-0.446,-0.1666,1.2175,0.0174,0.0134,0.0233
0.2,0.0108,0.5046,0.1394,1.1216,-0.0035,0.0552,0.0315,0.051,-0.411,-0.1431,1.1309,0.0158,0.0125,0.0224
0.3,-0.0865,0.4707,0.1285,1.0386,-0.0116,0.0522,0.03,-0.0269,-0.376,-0.1195,1.0443,0.0143,0.0115,0.0214
0.4,-0.1838,0.4368,0.1176,0.9556,-0.0197,0.0493,0.0285,-0.1048,-0.341,-0.0959,0.9577,0.0127,0.0105,0.0204
0.5,-0.2811,0.403,0.1067,0.8726,-0.0278,0.0463,0.0271,-0.1826,-0.306,-0.0723,0.8711,0.0112,0.0096,0.0194
0.6,-0.3783,0.3691,0.0959,0.7896,-0.0359,0.0434,0.0256,-0.2605,-0.271,-0.0488,0.7845,0.0096,0.0086,0.0185
0.7,-0.4756,0.3352,0.085,0.7066,-0.0441,0.0404,0.0241,-0.3384,-0.236,-0.0252,0.6978,0.0081,0.0076,0.0175
0.8,-0.5729,0.3014,0.0741,0.6235,-0.0522,0.0374,0.0227,-0.4162,-0.2011,-0.0016,0.6112,0.0065,0.0067,0.0165
0.9,-0.6701,0.2675,0.0633,0.5405,-0.0603,0.0345,0.0212,-0.4941,-0.1661,0.0219,0.5246,0.005,0.0057,0.0156
1,-0.7674,0.2337,0.0524,0.4575,-0.0684,0.0315,0.0198,-0.5719,-0.1311,0.0455,0.438,0.0034,0.0048,0.0146
1.1,-0.8647,0.1998,0.0415,0.3745,-0.0765,0.0286,0.0183,-0.6498,-0.0961,0.0691,0.3514,0.0019,0.0038,0.0136
1.2,-0.962,0.1659,0.0306,0.2915,-0.0846,0.0256,0.0168,-0.7277,-0.0611,0.0927,0.2648,0.0003,0.0028,0.0126
1.3,-1.0592,0.1321,0.0198,0.2085,-0.0927,0.0227,0.0154,-0.8055,-0.0261,0.1162,0.1782,-0.0012,0.0019,0.0117
1.4,-1.1565,0.0982,0.0089,0.1255,-0.1008,0.0197,0.0139,-0.8834,0.0089,0.1398,0.0916,-0.0028,0.0009,0.0107
1.5,-1.1565,0.0982,0.0089,0.1255,-0.1008,0.0197,0.0139,-0.8834,0.0089,0.1398,0.0916,-0.0028,0.0009,0.0107
1.6,-1.1565,0.0982,0.0089,0.1255,-0.1008,0.0197,0.0139,-0.8834,0.0089,0.1398,0.0916,-0.0028,0.0009,0.0107
1.7,-1.1565,0.0982,0.0089,0.1255,-0.1008,0.0197,0.0139,-0.8834,0.0089,0.1398,0.0916,-0.0028,0.0009,0.0107
1.8,-1.1565,0.0982,0.0089,0.1255,-0.1008,0.0197,0.0139,-0.8834,0.0089,0.1398,0.0916,-0.0028,0.0009,0.0107
1.9,-1.1606,0.1003,0.0098,0.1283,-0.1033,0.0204,0.0189,-0.7855,0.0226,0.0743,0.1152,-0.0037,0.0018,0.0607
2,-1.1646,0.1024,0.0108,0.1311,-0.1058,0.0211,0.0239,-0.6875,0.0362,0.0087,0.1389,-0.0045,0.0026,0.1107
