timestamp,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.0,-3.0890,-1.6590,-1.4539,0.3773,-1.4157,-1.4341,-1.8415,1.1929,1.6937,-1.2747,0.1629,1.1232,1.6140,-0.9350
0.1,-3.0890,-1.7070,-1.4529,0.3766,-1.4136,-1.4619,-1.8523,1.2046,1.6937,-1.2567,0.1654,1.1188,1.6140,-0.8979
0.2,-3.0890,-1.7610,-1.4505,0.3760,-1.4119,-1.4879,-1.8638,1.2174,1.6937,-1.2234,0.1676,1.1152,1.6140,-0.8392
0.3,-3.0890,-1.8186,-1.4483,0.3751,-1.4106,-1.5112,-1.8756,1.2305,1.6937,-1.1742,0.1697,1.1124,1.6140,-0.7621
0.4,-3.0890,-1.8777,-1.4463,0.3734,-1.4095,-1.5299,-1.8850,1.2438,1.6937,-1.1094,0.1713,1.1101,1.6140,-0.6698
0.5,-3.0890,-1.9367,-1.4462,0.3709,-1.4086,-1.5449,-1.8925,1.2580,1.6937,-1.0289,0.1719,1.1083,1.6140,-0.5698
0.6,-3.0890,-1.9943,-1.4467,0.3671,-1.4079,-1.5582,-1.9007,1.2716,1.6937,-0.9387,0.1707,1.1069,1.6140,-0.4698
0.7,-3.0890,-2.0496,-1.4472,0.3623,-1.4073,-1.5693,-1.9092,1.2839,1.6937,-0.8410,0.1690,1.1057,1.6140,-0.3698
0.8,-3.0890,-2.1020,-1.4477,0.3568,-1.4069,-1.5782,-1.9160,1.2948,1.6937,-0.7410,0.1708,1.1048,1.6140,-0.2741
0.9,-3.0890,-2.1509,-1.4439,0.3523,-1.4065,-1.5854,-1.9215,1.3035,1.6936,-0.6410,0.1810,1.1040,1.6140,-0.1976
1.0,-3.0890,-2.1961,-1.4337,0.3535,-1.4062,-1.5911,-1.9258,1.3094,1.6936,-0.5410,0.2036,1.1034,1.6140,-0.1364
1.1,-3.0890,-2.2376,-1.4180,0.3652,-1.4060,-1.5957,-1.9293,1.3121,1.6936,-0.4429,0.2393,1.1030,1.6140,-0.0874
1.2,-3.0890,-2.2754,-1.3947,0.3752,-1.4058,-1.5994,-1.9321,1.3109,1.6936,-0.3512,0.2880,1.1026,1.6140,-0.0482
1.3,-3.0890,-2.3096,-1.3703,0.3837,-1.4057,-1.6023,-1.9343,1.3062,1.6936,-0.2674,0.3531,1.0957,1.6140,-0.0168
1.4,-3.0890,-2.3390,-1.3441,0.3909,-1.3843,-1.6046,-1.9361,1.2965,1.6936,-0.1930,0.4275,1.0848,1.6140,0.0082
1.5,-3.0890,-2.3629,-1.3147,0.3970,-1.3426,-1.6065,-1.9375,1.2826,1.6936,-0.1286,0.5062,1.0737,1.6140,0.0283
1.6,-3.0890,-2.3804,-1.2819,0.4023,-1.2934,-1.6080,-1.9387,1.2622,1.6936,-0.0743,0.5900,1.0544,1.6140,0.0443
1.7,-3.0890,-2.3957,-1.2471,0.4067,-1.2288,-1.6092,-1.9396,1.2385,1.6936,-0.0304,0.6757,1.0331,1.6140,0.0572
1.8,-3.0890,-2.4101,-1.2086,0.4104,-1.1525,-1.6102,-1.9403,1.2139,1.6936,0.0057,0.7681,1.0026,1.6140,0.0675
1.9,-3.0890,-2.4237,-1.1646,0.4136,-1.0915,-1.6109,-1.9409,1.1881,1.6936,0.0350,0.8651,0.9606,1.6140,0.0757
2.0,-3.0890,-2.4344,-1.1251,0.4164,-1.0427,-1.6115,-1.9414,1.1626,1.6936,0.0601,0.9651,0.9004,1.6140,0.0823
2.1,-3.0890,-2.4432,-1.0895,0.4187,-0.9891,-1.6120,-1.9417,1.1386,1.6936,0.0822,1.0651,0.8393,1.6140,0.0875
2.2,-3.0890,-2.4505,-1.0574,0.4206,-0.9313,-1.6124,-1.9420,1.1165,1.6936,0.0999,1.1651,0.7832,1.6140,0.0917
2.3,-3.0890,-2.4559,-1.0285,0.4223,-0.8770,-1.6127,-1.9423,1.0953,1.6936,0.1134,1.2627,0.7258,1.6140,0.0951
2.4,-3.0890,-2.4597,-1.0026,0.4237,-0.8287,-1.6130,-1.9425,1.0763,1.6936,0.1241,1.3549,0.6675,1.6140,0.0978
2.5,-3.0890,-2.4575,-0.9792,0.4249,-0.7901,-1.6132,-1.9426,1.0592,1.6936,0.1358,1.4333,0.6063,1.6140,0.0999
2.6,-3.0890,-2.4513,-0.9582,0.4260,-0.7595,-1.6134,-1.9427,1.0438,1.6936,0.1464,1.5056,0.5574,1.6140,0.1017
2.7,-3.0890,-2.4465,-0.9392,0.4268,-0.7350,-1.6135,-1.9428,1.0328,1.6936,0.1560,1.5733,0.5182,1.6140,0.1030
2.8,-3.0890,-2.4444,-0.9222,0.4276,-0.7154,-1.6136,-1.9429,1.0245,1.6936,0.1607,1.6358,0.4828,1.6140,0.1041
2.9,-3.0890,-2.4447,-0.9069,0.4282,-0.6997,-1.6137,-1.9430,1.0185,1.6936,0.1625,1.6931,0.4494,1.6140,0.1050
3.0,-3.0890,-2.4471,-0.8908,0.4287,-0.6871,-1.6137,-1.9430,1.0141,1.6936,0.1622,1.7449,0.4229,1.6140,0.1057
3.1,-3.0890,-2.4511,-0.8725,0.4292,-0.6771,-1.6138,-1.9431,1.0112,1.6936,0.1607,1.7884,0.4070,1.6140,0.1063
3.2,-3.0890,-2.4554,-0.8578,0.4296,-0.6629,-1.6138,-1.9431,1.0097,1.6936,0.1602,1.8276,0.3906,1.6140,0.1067
3.3,-3.0890,-2.4592,-0.8447,0.4299,-0.6448,-1.6139,-1.9431,1.0067,1.6936,0.1599,1.8541,0.3775,1.6140,0.1071
3.4,-3.0890,-2.4643,-0.8328,0.4302,-0.6304,-1.6139,-1.9432,1.0034,1.6936,0.1592,1.8730,0.3746,1.6140,0.1074
3.5,-3.0890,-2.4706,-0.8201,0.4304,-0.6022,-1.6139,-1.9432,1.0018,1.6936,0.1583,1.8898,0.3781,1.6140,0.1076
