timestamp,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.0,5.7200,0.2842,-0.0076,1.5852,-0.0016,-0.0040,-0.0040,0.0000,-0.6797,-0.0080,1.6708,1.7966,-0.0040,-0.0040
0.1,5.7200,0.2757,-0.0077,1.5850,-0.0017,-0.0040,-0.0040,0.0000,-0.6651,-0.0080,1.6722,1.8415,-0.0040,-0.0040
0.2,5.7200,0.2675,-0.0077,1.5837,-0.0017,-0.0040,-0.0040,0.0000,-0.6424,-0.0080,1.6729,1.8845,-0.0040,-0.0040
0.3,5.7200,0.2596,-0.0077,1.5808,-0.0018,-0.0040,-0.0040,0.0000,-0.6110,-0.0080,1.6728,1.9256,-0.0040,-0.0040
0.4,5.7200,0.2522,-0.0078,1.5768,-0.0018,-0.0040,-0.0040,0.0000,-0.5721,-0.0080,1.6719,1.9631,-0.0040,-0.0040
0.5,5.7200,0.2454,-0.0078,1.5731,-0.0019,-0.0040,-0.0040,0.0000,-0.5301,-0.0080,1.6706,1.9904,-0.0040,-0.0040
0.6,5.7200,0.2391,-0.0078,1.5695,-0.0019,-0.0040,-0.0040,0.0000,-0.4924,-0.0080,1.6684,2.0123,-0.0040,-0.0040
0.7,5.7200,0.2334,-0.0078,1.5668,-0.0019,-0.0040,-0.0040,0.0000,-0.4584,-0.0080,1.6643,2.0298,-0.0040,-0.0040
0.8,5.7200,0.2282,-0.0078,1.5650,-0.0019,-0.0040,-0.0040,0.0000,-0.4278,-0.0080,1.6583,2.0438,-0.0040,-0.0040
0.9,5.7200,0.2239,-0.0079,1.5640,-0.0019,-0.0040,-0.0040,0.0000,-0.4003,-0.0080,1.6501,2.0550,-0.0040,-0.0040
1.0,5.7200,0.2210,-0.0079,1.5636,-0.0020,-0.0040,-0.0040,0.0000,-0.3755,-0.0080,1.6400,2.0639,-0.0040,-0.0040
1.1,5.7200,0.2192,-0.0079,1.5641,-0.0020,-0.0040,-0.0040,0.0000,-0.3532,-0.0080,1.6290,2.0711,-0.0040,-0.0040
1.2,5.7200,0.2174,-0.0079,1.5658,-0.0020,-0.0040,-0.0040,0.0000,-0.3332,-0.0080,1.6179,2.0768,-0.0040,-0.0040
