timestamp,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0.0,-1.3587,-0.2722,1.6251,1.2059,0.0000,0.0000,0.0000,0.1765,-0.0831,-0.7701,1.4274,0.0000,0.0000,0.0000
0.1,-1.3377,-0.2714,1.6480,1.2015,0.0000,0.0000,0.0000,0.1633,-0.0762,-0.8001,1.4193,0.0000,0.0000,0.0000
0.2,-1.2487,-0.2357,1.6220,1.2093,0.0000,0.0000,0.0000,0.1683,-0.0638,-0.8596,1.4418,0.0000,0.0000,0.0000
0.3,-1.2598,-0.2311,1.6461,1.2088,0.0000,0.0000,0.0000,0.1728,-0.0477,-0.8878,1.4629,0.0000,0.0000,0.0000
0.4,-1.7645,-0.6914,-0.5954,1.1645,0.0000,0.0000,0.0000,0.2364,-0.0877,0.6991,1.4884,0.0000,0.0000,0.0000
0.5,-2.0638,-0.9746,-1.7874,1.1825,0.0000,0.0000,0.0000,0.2695,-0.1341,1.7080,1.4918,0.0000,0.0000,0.0000
0.6,-0.7744,-1.2201,-2.5675,1.2314,0.0000,0.0000,0.0000,0.2531,-0.1813,2.4629,1.4884,0.0000,0.0000,0.0000
0.7,-1.8247,-1.3981,-2.7782,1.2716,0.0000,0.0000,0.0000,0.2439,-0.2123,2.6823,1.5000,0.0000,0.0000,0.0000
0.8,-2.0611,-1.4179,-2.8402,1.2899,0.0000,0.0000,0.0000,0.2387,-0.2249,2.7352,1.5088,0.0000,0.0000,0.0000
0.9,-2.2743,-1.4683,-2.9056,1.3147,0.0000,0.0000,0.0000,0.2364,-0.2398,2.7701,1.5255,0.0000,0.0000,0.0000
1.0,-2.3210,-1.4849,-2.9263,1.3216,0.0000,0.0000,0.0000,0.2364,-0.2463,2.7582,1.5295,0.0000,0.0000,0.0000
1.1,-2.3775,-1.4771,-2.9564,1.3225,0.0000,0.0000,0.0000,0.2434,-0.2592,2.7041,1.5327,0.0000,0.0000,0.0000
1.2,-2.3844,-1.3982,-2.9715,1.3009,0.0000,0.0000,0.0000,0.2441,-0.2710,2.6811,1.5419,0.0000,0.0000,0.0000
1.3,-2.3677,-1.3626,-2.9723,1.2901,0.0000,0.0000,0.0000,0.2423,-0.2796,2.6935,1.5558,0.0000,0.0000,0.0000
1.4,-2.3602,-1.3603,-2.9699,1.2885,0.0000,0.0000,0.0000,0.2423,-0.2811,2.7022,1.5594,0.0000,0.0000,0.0000
1.5,-2.3549,-1.3592,-2.9689,1.2903,0.0000,0.0000,0.0000,0.2409,-0.2814,2.7297,1.5636,0.0000,0.0000,0.0000
1.6,-2.3564,-1.3697,-2.9762,1.3010,0.0000,0.0000,0.0000,0.2424,-0.2797,2.6514,1.5569,0.0000,0.0000,0.0000
1.7,-2.3827,-1.3562,-3.0059,1.3028,0.0000,0.0000,0.0000,0.2416,-0.2800,2.5777,1.5499,0.0000,0.0000,0.0000
1.8,-2.4060,-1.3513,-3.0428,1.3168,0.0000,0.0000,0.0000,0.2330,-0.2931,2.5644,1.5491,0.0000,0.0000,0.0000
1.9,-2.3780,-1.3067,-3.0645,1.3305,0.0000,0.0000,0.0000,0.2459,-0.3518,2.8215,1.5556,0.0000,0.0000,0.0000
2.0,-2.3631,-1.2930,-3.0700,1.3411,0.0000,0.0000,0.0000,0.3027,-0.4050,3.1389,1.5515,0.0000,0.0000,0.0000
2.1,-2.3504,-1.3033,-3.0660,1.3419,0.0000,0.0000,0.0000,0.4226,-0.4896,3.4317,1.5451,0.0000,0.0000,0.0000
2.2,0.0799,-1.3442,-3.0992,1.3347,0.0000,0.0000,0.0000,0.5622,-0.7098,3.7690,1.3384,0.0000,0.0000,0.0000
2.3,1.5003,-1.4071,-3.1398,1.3678,0.0000,0.0000,0.0000,0.2692,-0.7915,3.3604,1.1332,0.0000,0.0000,0.0000
2.4,2.7420,-1.1978,-3.1860,1.3977,0.0000,0.0000,0.0000,-0.3000,-0.9491,3.0135,0.8930,0.0000,0.0000,0.0000
2.5,2.8203,-0.6605,-2.8642,1.4402,0.0000,0.0000,0.0000,-0.7266,-1.2052,2.1625,0.9323,0.0000,0.0000,0.0000
2.6,2.7461,-0.2620,-2.6162,1.4442,0.0000,0.0000,0.0000,-1.0615,-1.6959,2.6816,0.9921,0.0000,0.0000,0.0000
