timestamp,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0.0,0.2057,0.5629,0.0001,1.3364,0.0000,0.0000,0.0000,0.1659,-0.1795,0.2980,1.2885,0.0000,0.0000,0.0000
0.1,0.2034,0.5718,0.0000,1.3314,0.0000,0.0000,0.0000,0.1676,-0.1781,0.3615,1.2904,0.0000,0.0000,0.0000
0.2,0.2020,0.5521,0.0000,1.3239,0.0000,0.0000,0.0000,0.1687,-0.1775,0.3964,1.2892,0.0000,0.0000,0.0000
0.3,0.2012,0.5310,0.0000,1.3198,0.0000,0.0000,0.0000,0.1722,-0.1782,0.4115,1.2869,0.0000,0.0000,0.0000
0.4,0.2007,0.5118,0.0000,1.3191,0.0000,0.0000,0.0000,0.1789,-0.1785,0.3903,1.2830,0.0000,0.0000,0.0000
0.5,0.2004,0.4961,0.0000,1.3219,0.0000,0.0000,0.0000,0.1833,-0.1816,0.3955,1.2853,0.0000,0.0000,0.0000
0.6,0.2003,0.5184,0.0000,1.3315,0.0000,0.0000,0.0000,0.1917,-0.1859,0.4209,1.2934,0.0000,0.0000,0.0000
0.7,0.2002,0.5991,0.0000,1.3363,0.0000,0.0000,0.0000,0.1958,-0.1884,0.4237,1.2988,0.0000,0.0000,0.0000
0.8,0.2001,0.6525,0.0000,1.3401,0.0000,0.0000,0.0000,0.1988,-0.1896,0.4305,1.3030,0.0000,0.0000,0.0000
0.9,0.2001,0.7127,0.0000,1.3435,0.0000,0.0000,0.0000,0.1979,-0.1901,0.4657,1.3083,0.0000,0.0000,0.0000
1.0,0.2000,0.7657,0.0000,1.3457,0.0000,0.0000,0.0000,0.1947,-0.1913,0.4958,1.3108,0.0000,0.0000,0.0000
1.1,0.2000,0.8424,0.0000,1.3485,0.0000,0.0000,0.0000,0.1945,-0.1919,0.4916,1.3097,0.0000,0.0000,0.0000
1.2,0.2000,0.8911,0.0000,1.3499,0.0000,0.0000,0.0000,0.1951,-0.1920,0.4763,1.3081,0.0000,0.0000,0.0000
1.3,0.2000,0.9336,0.0000,1.3530,0.0000,0.0000,0.0000,0.1931,-0.1917,0.4746,1.3076,0.0000,0.0000,0.0000
1.4,0.2000,0.9531,0.0000,1.3520,0.0000,0.0000,0.0000,0.1915,-0.1910,0.4765,1.3088,0.0000,0.0000,0.0000
1.5,0.2000,0.9595,0.0000,1.3555,0.0000,0.0000,0.0000,0.1899,-0.1893,0.4776,1.3120,0.0000,0.0000,0.0000
1.6,0.2000,0.9570,0.0000,1.3579,0.0000,0.0000,0.0000,0.1876,-0.1869,0.4864,1.3131,0.0000,0.0000,0.0000
1.7,2.7941,0.9310,0.0000,1.3603,0.0000,0.0000,0.0000,0.1871,-0.1852,0.4467,1.3094,0.0000,0.0000,0.0000
1.8,4.2482,0.9475,0.0000,1.3604,0.0000,0.0000,0.0000,0.1859,-0.1868,0.4074,1.2967,0.0000,0.0000,0.0000
1.9,5.0183,0.9851,0.0000,1.3558,0.0000,0.0000,0.0000,0.1807,-0.1901,0.3798,1.2709,0.0000,0.0000,0.0000
2.0,5.4303,1.0271,0.0000,1.3534,0.0000,0.0000,0.0000,0.1758,-0.1969,0.3853,1.2265,0.0000,0.0000,0.0000
2.1,5.6545,1.0481,0.0000,1.3539,0.0000,0.0000,0.0000,0.1737,-0.2142,0.4103,1.1898,0.0000,0.0000,0.0000
2.2,3.3104,1.0815,0.0000,1.3460,0.0000,0.0000,0.0000,0.2177,-0.2663,0.4714,1.1634,0.0000,0.0000,0.0000
2.3,1.9443,1.1040,0.0000,1.3341,0.0000,0.0000,0.0000,0.2183,-0.3398,0.4748,1.1324,0.0000,0.0000,0.0000
2.4,3.5633,1.2191,0.0000,1.3320,0.0000,0.0000,0.0000,-0.0099,-0.4161,0.3827,1.0829,0.0000,0.0000,0.0000
2.5,2.1820,1.5679,0.0000,1.3347,0.0000,0.0000,0.0000,-0.2498,-0.4260,0.1632,1.0416,0.0000,0.0000,0.0000
2.6,1.5177,1.8424,2.2978,1.3303,0.0000,0.0000,0.0000,-0.4353,-0.4542,0.0482,0.9552,0.0000,0.0000,0.0000
2.7,0.9678,1.9678,1.3250,1.3178,0.0000,0.0000,0.0000,-0.5743,-0.5138,0.0184,0.8277,0.0000,0.0000,0.0000
2.8,0.7083,2.0697,0.7862,1.2983,0.0000,0.0000,0.0000,-0.7093,-0.6373,0.0786,0.7159,0.0000,0.0000,0.0000
2.9,0.5718,2.1219,0.4620,1.2810,0.0000,0.0000,0.0000,-0.9094,-0.9663,-0.2701,0.6818,0.0000,0.0000,0.0000
3.0,0.4954,2.1361,0.2735,1.2700,0.0000,0.0000,0.0000,-1.0816,-1.2903,-0.4768,0.6797,0.0000,0.0000,0.0000
3.1,0.5213,2.1622,2.4592,1.2691,0.0000,0.0000,0.0000,-1.3060,-1.6809,0.3646,0.6972,0.0000,0.0000,0.0000
