timestamp,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0.0,0.1999,0.7851,0.1438,1.2495,0.0000,0.0000,0.0000,0.1543,-0.2435,0.2569,1.2872,0.0000,0.0000,0.0000
0.1,0.2000,0.7688,0.1439,1.2496,0.0000,0.0000,0.0000,0.1621,-0.2450,0.2233,1.2861,0.0000,0.0000,0.0000
0.2,0.2000,0.7121,0.1439,1.2524,0.0000,0.0000,0.0000,0.1679,-0.2458,0.2035,1.2847,0.0000,0.0000,0.0000
0.3,0.2000,0.6535,0.1439,1.2519,0.0000,0.0000,0.0000,0.1756,-0.2462,0.1758,1.2822,0.0000,0.0000,0.0000
0.4,0.2000,0.6178,0.1439,1.2522,0.0000,0.0000,0.0000,0.1801,-0.2456,0.1568,1.2796,0.0000,0.0000,0.0000
0.5,0.2000,0.5900,0.1439,1.2536,0.0000,0.0000,0.0000,0.1833,-0.2450,0.1261,1.2749,0.0000,0.0000,0.0000
0.6,0.2000,0.5613,0.1439,1.2552,0.0000,0.0000,0.0000,0.1868,-0.2444,0.0957,1.2694,0.0000,0.0000,0.0000
0.7,0.2000,0.5375,0.1439,1.2562,0.0000,0.0000,0.0000,0.1903,-0.2438,0.0679,1.2621,0.0000,0.0000,0.0000
0.8,0.2000,0.4816,0.1439,1.2581,0.0000,0.0000,0.0000,0.1935,-0.2431,0.0346,1.2535,0.0000,0.0000,0.0000
0.9,0.2000,0.4860,0.1439,1.2570,0.0000,0.0000,0.0000,0.1926,-0.2433,0.0241,1.2518,0.0000,0.0000,0.0000
1.0,0.2000,0.5094,0.1439,1.2554,0.0000,0.0000,0.0000,0.1902,-0.2443,0.0306,1.2544,0.0000,0.0000,0.0000
1.1,0.2000,0.5374,0.1439,1.2517,0.0000,0.0000,0.0000,0.1871,-0.2451,0.0459,1.2582,0.0000,0.0000,0.0000
1.2,0.2000,0.5723,0.1439,1.2477,0.0000,0.0000,0.0000,0.1843,-0.2468,0.0508,1.2627,0.0000,0.0000,0.0000
1.3,0.2000,0.5865,0.1439,1.2449,0.0000,0.0000,0.0000,0.1825,-0.2484,0.0503,1.2665,0.0000,0.0000,0.0000
1.4,0.2000,0.5878,0.1439,1.2435,0.0000,0.0000,0.0000,0.1803,-0.2500,0.0498,1.2701,0.0000,0.0000,0.0000
1.5,0.2000,0.5782,0.1439,1.2421,0.0000,0.0000,0.0000,0.1781,-0.2509,0.0494,1.2726,0.0000,0.0000,0.0000
1.6,0.2000,0.5718,0.1439,1.2388,0.0000,0.0000,0.0000,0.1757,-0.2516,0.0508,1.2746,0.0000,0.0000,0.0000
1.7,0.2000,0.5771,0.1439,1.2349,0.0000,0.0000,0.0000,0.1743,-0.2523,0.0500,1.2765,0.0000,0.0000,0.0000
1.8,0.2000,0.5835,0.1439,1.2330,0.0000,0.0000,0.0000,0.1687,-0.2535,0.0477,1.2787,0.0000,0.0000,0.0000
1.9,0.2000,0.6130,0.1439,1.2293,0.0000,0.0000,0.0000,0.1616,-0.2557,0.0435,1.2798,0.0000,0.0000,0.0000
2.0,0.2000,0.6521,0.1439,1.2294,0.0000,0.0000,0.0000,0.1523,-0.2608,0.0301,1.2753,0.0000,0.0000,0.0000
2.1,-2.3549,0.6970,0.1439,1.2306,0.0000,0.0000,0.0000,0.1374,-0.2693,0.0317,1.2420,0.0000,0.0000,0.0000
2.2,-3.7952,0.7549,0.1439,1.2319,0.0000,0.0000,0.0000,0.1181,-0.2849,0.0591,1.1993,0.0000,0.0000,0.0000
2.3,-4.5768,0.7895,0.1439,1.2356,0.0000,0.0000,0.0000,0.1028,-0.3185,0.0683,1.1638,0.0000,0.0000,0.0000
2.4,-5.0089,0.8068,0.1439,1.2401,0.0000,0.0000,0.0000,0.0865,-0.3710,0.0678,1.1383,0.0000,0.0000,0.0000
2.5,-2.6379,0.7396,0.1439,1.2552,0.0000,0.0000,0.0000,-0.0279,-0.4454,-0.0834,1.0841,0.0000,0.0000,0.0000
2.6,-3.8473,0.8744,0.1439,1.2701,0.0000,0.0000,0.0000,-0.2178,-0.4889,-0.1442,1.0457,0.0000,0.0000,0.0000
2.7,-2.1351,1.4242,0.1439,1.2970,0.0000,0.0000,0.0000,-0.3745,-0.5343,-0.2589,1.0007,0.0000,0.0000,0.0000
2.8,-2.2644,1.7192,-1.0974,1.2993,0.0000,0.0000,0.0000,-0.5096,-0.5939,-0.3296,0.9256,0.0000,0.0000,0.0000
2.9,-2.3386,1.8724,-1.8067,1.2794,0.0000,0.0000,0.0000,-0.6308,-0.6873,-0.2880,0.7756,0.0000,0.0000,0.0000
3.0,-2.3829,2.1204,-2.2094,1.2645,0.0000,0.0000,0.0000,-0.7609,-0.8322,-0.1791,0.6651,0.0000,0.0000,0.0000
3.1,-2.4045,2.3013,-2.4397,1.2488,0.0000,0.0000,0.0000,-0.9748,-1.1376,0.0568,0.6501,0.0000,0.0000,0.0000
3.2,-2.4227,2.5093,-2.5712,1.2430,0.0000,0.0000,0.0000,-1.2208,-1.4900,0.3349,0.6730,0.0000,0.0000,0.0000
3.3,-2.3858,2.5665,-2.6966,1.2405,0.0000,0.0000,0.0000,-1.4193,-1.7627,0.6014,0.6653,0.0000,0.0000,0.0000
3.4,-2.2835,2.6493,-2.8580,1.2447,0.0000,0.0000,0.0000,-1.5926,-1.9762,0.8942,0.7172,0.0000,0.0000,0.0000
