timestamp,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.0,1.3389,-2.6164,-1.4393,0.4465,0.7682,0.6844,-1.9654,1.3669,2.6162,1.1035,0.3955,1.1371,1.6140,-0.0294
0.1,1.3489,-2.6166,-1.4271,0.4305,0.7682,0.6844,-1.9667,1.3653,2.6162,1.0946,0.3804,1.1371,1.6140,0.0254
0.2,1.3581,-2.6167,-1.4126,0.4155,0.7682,0.6844,-1.9678,1.3637,2.6162,1.0841,0.3651,1.1371,1.6140,0.0687
0.3,1.3664,-2.6169,-1.3968,0.4014,0.7682,0.6844,-1.9686,1.3624,2.6163,1.0721,0.3501,1.1371,1.6140,0.1001
0.4,1.3739,-2.6170,-1.3803,0.3887,0.7682,0.6844,-1.9693,1.3615,2.6164,1.0583,0.3357,1.1371,1.6140,0.1164
0.5,1.3807,-2.6171,-1.3621,0.3769,0.7682,0.6844,-1.9698,1.3618,2.6165,1.0444,0.3221,1.1371,1.6140,0.1168
0.6,1.3881,-2.6172,-1.3469,0.3676,0.7682,0.6844,-1.9703,1.3636,2.6166,1.0325,0.3119,1.1371,1.6140,0.0930
0.7,1.3950,-2.6172,-1.3304,0.3612,0.7682,0.6844,-1.9706,1.3667,2.6167,1.0228,0.3083,1.1371,1.6140,0.0513
0.8,1.3994,-2.6173,-1.3155,0.3619,0.7682,0.6844,-1.9709,1.3697,2.6169,1.0107,0.3189,1.1371,1.6140,0.0039
0.9,1.3991,-2.6174,-1.3022,0.3730,0.7682,0.6844,-1.9711,1.3703,2.6170,0.9931,0.3440,1.1371,1.6140,-0.0406
1.0,1.3957,-2.6175,-1.2825,0.3953,0.7682,0.6844,-1.9713,1.3675,2.6171,0.9706,0.3813,1.1371,1.6140,-0.0851
1.1,1.3881,-2.6175,-1.2558,0.4352,0.7682,0.6844,-1.9714,1.3617,2.6172,0.9405,0.4314,1.1401,1.6140,-0.1326
1.2,1.3732,-2.6176,-1.2197,0.4835,0.7682,0.6844,-1.9715,1.3513,2.6173,0.9045,0.4898,1.1440,1.6140,-0.1863
1.3,1.3467,-2.6176,-1.1753,0.5323,0.7682,0.6844,-1.9716,1.3345,2.6173,0.8632,0.5513,1.1468,1.6140,-0.2412
1.4,1.3109,-2.6176,-1.1226,0.5811,0.7682,0.6844,-1.9717,1.3122,2.6174,0.8186,0.6148,1.1470,1.6140,-0.2953
1.5,1.2654,-2.6177,-1.0651,0.6380,0.7597,0.6844,-1.9718,1.2870,2.6175,0.7739,0.6688,1.1471,1.6140,-0.3386
1.6,1.2107,-2.6177,-1.0060,0.6863,0.7530,0.6832,-1.9718,1.2585,2.6175,0.7300,0.7147,1.1473,1.6140,-0.3732
1.7,1.1614,-2.6177,-0.9527,0.7416,0.7475,0.6814,-1.9719,1.2328,2.6176,0.6886,0.7640,1.1473,1.6140,-0.4009
1.8,1.1171,-2.6178,-0.9048,0.8051,0.7432,0.6832,-1.9719,1.2097,2.6176,0.6497,0.8103,1.1474,1.6140,-0.4231
1.9,1.0772,-2.6178,-0.8616,0.8811,0.7397,0.6821,-1.9719,1.1871,2.6176,0.6141,0.8497,1.1475,1.6140,-0.4408
2.0,1.0413,-2.6143,-0.8228,0.9655,0.7369,0.6753,-1.9719,1.1659,2.6177,0.5808,0.8832,1.1393,1.6140,-0.4517
2.1,1.0089,-2.6094,-0.7863,1.0532,0.7263,0.6659,-1.9719,1.1443,2.6177,0.5479,0.9117,1.1274,1.6140,-0.4636
2.2,0.9799,-2.6034,-0.7528,1.1430,0.7101,0.6568,-1.9720,1.1218,2.6177,0.5157,0.9359,1.1107,1.6140,-0.4773
2.3,0.9537,-2.5967,-0.7231,1.2303,0.6955,0.6509,-1.9720,1.0990,2.6178,0.4846,0.9677,1.0937,1.6140,-0.4909
2.4,0.9301,-2.5906,-0.6963,1.3046,0.6839,0.6397,-1.9720,1.0753,2.6178,0.4554,1.0033,1.0782,1.6140,-0.5048
2.5,0.9089,-2.5852,-0.6723,1.3677,0.6745,0.6209,-1.9720,1.0524,2.6178,0.4282,1.0405,1.0663,1.6140,-0.5153
2.6,0.8898,-2.5745,-0.6567,1.4326,0.6671,0.5994,-1.9720,1.0323,2.6178,0.4027,1.0859,1.0477,1.6140,-0.5269
2.7,0.8726,-2.5646,-0.6498,1.4971,0.6611,0.5858,-1.9720,1.0153,2.6178,0.3784,1.1341,1.0286,1.6140,-0.5370
2.8,0.8572,-2.5564,-0.6497,1.5599,0.6564,0.5812,-1.9720,1.0019,2.6179,0.3560,1.1867,1.0050,1.6140,-0.5503
2.9,0.8433,-2.5500,-0.6554,1.6200,0.6525,0.5842,-1.9720,0.9924,2.6179,0.3360,1.2448,0.9738,1.6140,-0.5696
3.0,0.8308,-2.5447,-0.6706,1.6770,0.6495,0.5947,-1.9720,0.9876,2.6179,0.3200,1.3063,0.9488,1.6140,-0.5851
3.1,0.8195,-2.5401,-0.6946,1.7305,0.6471,0.6088,-1.9720,0.9858,2.6179,0.3095,1.3694,0.9115,1.6140,-0.6137
3.2,0.8093,-2.5360,-0.7162,1.7764,0.6514,0.6279,-1.9720,0.9864,2.6179,0.3026,1.4257,0.8816,1.6140,-0.6365
3.3,0.8002,-2.5337,-0.7357,1.8059,0.6690,0.6477,-1.9720,0.9881,2.6179,0.2969,1.4708,0.8577,1.6140,-0.6548
3.4,0.7920,-2.5330,-0.7532,1.8274,0.6919,0.6665,-1.9720,0.9909,2.6179,0.2923,1.5088,0.8386,1.6140,-0.6694
3.5,0.7846,-2.5337,-0.7690,1.8469,0.7126,0.6834,-1.9720,0.9946,2.6179,0.2888,1.5422,0.8233,1.6140,-0.6847
3.6,0.7780,-2.5357,-0.7831,1.8638,0.7315,0.6974,-1.9720,0.9991,2.6179,0.2863,1.5716,0.8111,1.6140,-0.6999
3.7,0.7720,-2.5390,-0.7959,1.8768,0.7511,0.7104,-1.9720,1.0043,2.6179,0.2848,1.5961,0.8013,1.6140,-0.7143
3.8,0.7666,-2.5430,-0.8074,1.8871,0.7703,0.7217,-1.9720,1.0101,2.6180,0.2843,1.6167,0.7935,1.6140,-0.7275
3.9,0.7617,-2.5476,-0.8177,1.8940,0.7898,0.7352,-1.9720,1.0161,2.6180,0.2844,1.6324,0.7872,1.6140,-0.7381
4.0,0.7574,-2.5520,-0.8271,1.8999,0.8055,0.7460,-1.9720,1.0202,2.6180,0.2839,1.6397,0.7822,1.6140,-0.7414
4.1,0.7534,-2.5554,-0.8354,1.9050,0.8308,0.7639,-1.9720,1.0219,2.6180,0.2825,1.6411,0.7782,1.6140,-0.7409
4.2,0.7499,-2.5590,-0.8430,1.9021,0.8572,0.7832,-1.9720,1.0222,2.6180,0.2806,1.6374,0.7750,1.6140,-0.7349
4.3,0.7467,-2.5626,-0.8498,1.8969,0.8789,0.8013,-1.9720,1.0215,2.6180,0.2783,1.6306,0.7724,1.6140,-0.7256
4.4,0.7438,-2.5661,-0.8559,1.8925,0.8943,0.8169,-1.9720,1.0201,2.6180,0.2756,1.6223,0.7703,1.6140,-0.7146
4.5,0.7413,-2.5697,-0.8614,1.8896,0.9039,0.8302,-1.9720,1.0183,2.6180,0.2727,1.6141,0.7687,1.6140,-0.7032
4.6,0.7389,-2.5731,-0.8663,1.8870,0.9104,0.8421,-1.9720,1.0164,2.6180,0.2698,1.6063,0.7674,1.6140,-0.6905
4.7,0.7369,-2.5765,-0.8708,1.8848,0.9142,0.8527,-1.9720,1.0148,2.6180,0.2679,1.5980,0.7663,1.6140,-0.6764
4.8,0.7350,-2.5796,-0.8748,1.8827,0.9158,0.8630,-1.9720,1.0168,2.6180,0.2694,1.5910,0.7655,1.6140,-0.6651
4.9,0.7333,-2.5826,-0.8784,1.8809,0.9176,0.8727,-1.9720,1.0219,2.6180,0.2738,1.5850,0.7648,1.6140,-0.6417
5.0,0.7318,-2.5854,-0.8816,1.8784,0.9220,0.8829,-1.9720,1.0275,2.6180,0.2778,1.5790,0.7643,1.6140,-0.6153
5.1,0.7304,-2.5880,-0.8845,1.8759,0.9281,0.8934,-1.9720,1.0332,2.6180,0.2815,1.5762,0.7639,1.6140,-0.5912
5.2,0.7292,-2.5906,-0.8872,1.8729,0.9354,0.9041,-1.9720,1.0386,2.6180,0.2844,1.5751,0.7635,1.6140,-0.5713
5.3,0.7280,-2.5929,-0.8895,1.8693,0.9437,0.9143,-1.9720,1.0435,2.6180,0.2865,1.5752,0.7632,1.6140,-0.5562
5.4,0.7271,-2.5952,-0.8917,1.8649,0.9526,0.9233,-1.9720,1.0476,2.6180,0.2875,1.5755,0.7630,1.6140,-0.5444
5.5,0.7262,-2.5974,-0.8936,1.8609,0.9605,0.9309,-1.9720,1.0510,2.6180,0.2873,1.5757,0.7628,1.6140,-0.5365
5.6,0.7253,-2.5995,-0.8953,1.8575,0.9669,0.9369,-1.9720,1.0539,2.6180,0.2862,1.5753,0.7627,1.6140,-0.5307
5.7,0.7246,-2.6013,-0.9081,1.8547,0.9719,0.9417,-1.9720,1.0560,2.6180,0.2838,1.5741,0.7626,1.6140,-0.5269
5.8,0.7240,-2.6030,-0.9196,1.8522,0.9760,0.9456,-1.9720,1.0569,2.6180,0.2804,1.5721,0.7625,1.6140,-0.5261
5.9,0.7234,-2.6045,-0.9300,1.8472,0.9859,0.9466,-1.9720,1.0570,2.6180,0.2763,1.5698,0.7624,1.6140,-0.5283
6.0,0.7228,-2.6059,-0.9394,1.8437,0.9953,0.9416,-1.9720,1.0564,2.6180,0.2716,1.5673,0.7624,1.6140,-0.5322
6.1,0.7224,-2.6071,-0.9478,1.8415,1.0040,0.9340,-1.9720,1.0557,2.6180,0.2670,1.5642,0.7623,1.6140,-0.5349
6.2,0.7219,-2.6082,-0.9553,1.8391,1.0123,0.9260,-1.9720,1.0548,2.6180,0.2638,1.5598,0.7623,1.6140,-0.5355
6.3,0.7215,-2.6091,-0.9621,1.8378,1.0172,0.9179,-1.9720,1.0545,2.6180,0.2610,1.5560,0.7622,1.6140,-0.5360
6.4,0.7212,-2.6100,-0.9683,1.8404,1.0179,0.9104,-1.9720,1.0569,2.6180,0.2584,1.5528,0.7622,1.6140,-0.5363
6.5,0.7209,-2.6108,-0.9738,1.8443,1.0172,0.9019,-1.9720,1.0612,2.6180,0.2566,1.5448,0.7622,1.6140,-0.5428
6.6,0.7206,-2.6115,-0.9787,1.8483,1.0168,0.8931,-1.9720,1.0667,2.6180,0.2564,1.5365,0.7622,1.6140,-0.5503
6.7,0.7203,-2.6122,-0.9832,1.8515,1.0171,0.8843,-1.9720,1.0730,2.6180,0.2576,1.5283,0.7622,1.6140,-0.5560
6.8,0.7201,-2.6128,-0.9872,1.8538,1.0184,0.8754,-1.9720,1.0797,2.6180,0.2597,1.5207,0.7622,1.6140,-0.5595
6.9,0.7199,-2.6133,-0.9909,1.8552,1.0205,0.8672,-1.9720,1.0865,2.6180,0.2625,1.5138,0.7622,1.6140,-0.5609
7.0,0.7197,-2.6138,-0.9941,1.8522,1.0222,0.8606,-1.9720,1.0933,2.6180,0.2662,1.5097,0.7622,1.6140,-0.5610
7.1,0.7196,-2.6142,-0.9970,1.8497,1.0236,0.8553,-1.9720,1.0998,2.6180,0.2707,1.5080,0.7622,1.6140,-0.5604
7.2,0.7194,-2.6146,-0.9997,1.8394,1.0247,0.8511,-1.9720,1.1061,2.6180,0.2756,1.5082,0.7621,1.6140,-0.5565
7.3,0.7193,-2.6149,-1.0021,1.8272,1.0256,0.8477,-1.9720,1.1121,2.6180,0.2810,1.5103,0.7621,1.6140,-0.5497
7.4,0.7192,-2.6152,-1.0042,1.8147,1.0391,0.8450,-1.9720,1.1175,2.6180,0.2865,1.5136,0.7621,1.6140,-0.5403
7.5,0.7190,-2.6155,-1.0061,1.8022,1.0576,0.8540,-1.9720,1.1222,2.6180,0.2923,1.5171,0.7621,1.6140,-0.5256
