timestamp,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.0,0.1849,-0.0000,0.2174,1.2736,0.0000,0.0000,0.0000,0.2938,0.0000,-0.2167,1.3373,0.0000,0.0000,0.0000
0.1,0.1866,-0.0000,0.2186,1.2346,0.0000,0.0000,0.0000,0.2614,0.0000,-0.2205,1.4031,0.0000,0.0000,0.0000
0.2,0.1981,-0.0000,0.2184,1.1745,0.0000,0.0000,0.0000,0.2447,0.0000,-0.2250,1.4696,0.0000,0.0000,0.0000
0.3,0.2176,-0.0000,0.2181,1.1414,0.0000,0.0000,0.0000,0.2207,0.0000,-0.2297,1.5199,0.0000,0.0000,0.0000
0.4,0.1808,-0.0000,0.2180,1.1143,0.0000,0.0000,0.0000,0.2511,0.0000,-0.2308,1.5993,0.0000,0.0000,0.0000
0.5,0.1468,-0.0000,0.2195,1.0919,0.0000,0.0000,0.0000,0.2719,0.0000,-0.2306,1.6543,0.0000,0.0000,0.0000
0.6,0.1111,-0.0000,0.2228,1.0783,0.0000,0.0000,0.0000,0.2810,0.0000,-0.2298,1.7033,0.0000,0.0000,0.0000
0.7,0.1057,-0.0000,0.2212,1.0767,0.0000,0.0000,0.0000,0.2993,0.0000,-0.2297,1.7251,0.0000,0.0000,0.0000
0.8,0.0964,-0.0000,0.2212,1.0768,0.0000,0.0000,0.0000,0.3085,0.0000,-0.2295,1.7309,0.0000,0.0000,0.0000
0.9,0.0865,-0.0000,0.2220,1.0818,0.0000,0.0000,0.0000,0.3172,0.0000,-0.2294,1.7375,0.0000,0.0000,0.0000
1.0,0.0775,-0.0000,0.2228,1.0763,0.0000,0.0000,0.0000,0.3172,0.0000,-0.2290,1.7463,0.0000,0.0000,0.0000
1.1,0.0693,-0.0000,0.2238,1.0781,0.0000,0.0000,0.0000,0.3099,0.0000,-0.2282,1.7552,0.0000,0.0000,0.0000
1.2,0.0686,-0.0000,0.2235,1.0838,0.0000,0.0000,0.0000,0.3090,0.0000,-0.2279,1.7575,0.0000,0.0000,0.0000
1.3,0.0715,-0.0000,0.2228,1.0919,0.0000,0.0000,0.0000,0.3101,0.0000,-0.2278,1.7577,0.0000,0.0000,0.0000
1.4,0.0747,-0.0000,0.2220,1.1027,0.0000,0.0000,0.0000,0.3121,0.0000,-0.2278,1.7610,0.0000,0.0000,0.0000
1.5,0.0670,-0.0000,0.2234,1.1082,0.0000,0.0000,0.0000,0.3080,0.0000,-0.2271,1.7627,0.0000,0.0000,0.0000
1.6,0.0712,-0.0000,0.2226,1.1162,0.0000,0.0000,0.0000,0.3039,0.0000,-0.2265,1.7573,0.0000,0.0000,0.0000
1.7,0.0758,-0.0000,0.2217,1.1235,0.0000,0.0000,0.0000,0.3020,0.0000,-0.2262,1.7487,0.0000,0.0000,0.0000
1.8,0.0789,-0.0000,0.2211,1.1294,0.0000,0.0000,0.0000,0.3028,0.0000,-0.2262,1.7395,0.0000,0.0000,0.0000
1.9,0.0876,-0.0000,0.2196,1.1353,0.0000,0.0000,0.0000,0.3030,0.0000,-0.2262,1.7351,0.0000,0.0000,0.0000
2.0,0.0919,-0.0000,0.2189,1.1435,0.0000,0.0000,0.0000,0.2976,0.0000,-0.2258,1.7352,0.0000,0.0000,0.0000
2.1,0.0925,-0.0000,0.2189,1.1508,0.0000,0.0000,0.0000,0.2920,0.0000,-0.2254,1.7275,0.0000,0.0000,0.0000
2.2,0.0969,-0.0000,0.2182,1.1606,0.0000,0.0000,0.0000,0.2919,0.0000,-0.2255,1.7212,0.0000,0.0000,0.0000
2.3,0.1002,-0.0000,0.2177,1.1682,0.0000,0.0000,0.0000,0.2905,0.0000,-0.2255,1.7110,0.0000,0.0000,0.0000
2.4,0.0987,-0.0000,0.2180,1.1723,0.0000,0.0000,0.0000,0.2895,0.0000,-0.2256,1.7012,0.0000,0.0000,0.0000
2.5,0.0914,-0.0000,0.2193,1.1721,0.0000,0.0000,0.0000,0.2857,0.0000,-0.2255,1.7034,0.0000,0.0000,0.0000
2.6,0.0837,-0.0000,0.2207,1.1752,0.0000,0.0000,0.0000,0.2820,0.0000,-0.2252,1.7065,0.0000,0.0000,0.0000
2.7,0.0784,-0.0000,0.2217,1.1779,0.0000,0.0000,0.0000,0.2810,0.0000,-0.2242,1.7053,0.0000,0.0000,0.0000
2.8,0.0753,-0.0000,0.2223,1.1828,0.0000,0.0000,0.0000,0.2854,0.0000,-0.2234,1.7042,0.0000,0.0000,0.0000
2.9,0.0716,-0.0000,0.2230,1.1906,0.0000,0.0000,0.0000,0.2923,0.0000,-0.2212,1.6795,0.0000,0.0000,0.0000
3.0,0.0768,-0.0000,0.2223,1.2049,0.0000,0.0000,0.0000,0.2441,0.0000,-0.2077,1.5028,0.0000,0.0000,0.0000
