timestamp,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_wrist_roll_joint
0.0,0.7892,1.4222,0.0262,1.3548,0.6254,-1.4600,-3.7909,0.0178,-1.0252,-0.2944,1.2494,-1.0518,-0.9797,-2.8369
0.1,0.8512,1.4331,0.0437,1.3626,0.5965,-1.4604,-3.8004,0.0167,-1.0537,-0.3006,1.2400,-1.0491,-1.0262,-2.8397
0.2,0.9294,1.4408,0.0647,1.3948,0.6251,-1.4607,-3.8071,0.0183,-1.0799,-0.3061,1.2370,-1.0540,-1.0587,-2.8448
0.3,0.9893,1.4462,0.0862,1.4169,0.7297,-1.4609,-3.8118,0.0177,-1.0812,-0.3061,1.2326,-1.0562,-1.0815,-2.8472
0.4,0.9275,1.4123,0.1403,1.3880,0.4525,-1.4610,-3.8150,0.0644,-0.9636,-0.2927,1.2933,-1.2474,-0.1288,-2.6444
0.5,0.8135,1.2780,0.1858,1.4026,0.4997,-1.4611,-3.7475,0.1092,-0.7236,-0.2774,1.3374,-1.3940,0.5382,-2.5244
0.6,0.6532,1.0950,0.2196,1.4161,0.2785,-1.4612,-3.6075,0.1462,-0.6288,-0.2642,1.3988,-1.4604,1.3318,-2.5132
0.7,0.6042,1.0416,0.2255,1.4349,0.2965,-1.4612,-3.5841,0.1595,-0.5790,-0.2597,1.4075,-1.4536,1.5605,-2.5214
0.8,0.5487,1.0032,0.2208,1.4613,0.1857,-1.4613,-3.5602,0.1868,-0.3906,-0.2522,1.4162,-1.5159,1.8327,-2.4876
0.9,0.5295,0.9893,0.2163,1.4748,0.1822,-1.4613,-3.5551,0.1942,-0.3255,-0.2485,1.4071,-1.5562,1.9112,-2.4139
1.0,0.5092,0.9596,0.2141,1.4829,0.2358,-1.4613,-3.5431,0.1934,-0.3217,-0.2444,1.4030,-1.5778,1.9661,-2.3629
1.1,0.4937,0.9278,0.2175,1.4808,0.3084,-1.4613,-3.5312,0.1925,-0.3129,-0.2406,1.3876,-1.5770,2.0046,-2.3219
1.2,0.4663,0.8716,0.2163,1.4917,0.6502,-1.4613,-3.5386,0.1937,-0.2932,-0.2372,1.3727,-1.5604,2.0503,-2.3119
1.3,0.4485,0.8395,0.2096,1.4980,1.0905,-1.4613,-3.5816,0.1974,-0.1041,-0.2028,1.2979,-1.2586,2.0727,-2.4752
1.4,0.4214,0.7565,0.2064,1.4986,1.2873,-1.4613,-3.5855,0.1947,0.0352,-0.1316,1.2377,-1.0732,2.0792,-2.5550
1.5,0.3831,0.6365,0.2009,1.5143,1.4281,-1.4613,-3.5523,0.2152,0.2834,0.0485,1.0739,-0.8643,2.0869,-2.6433
1.6,0.3760,0.6209,0.1976,1.5299,1.0312,-1.4613,-3.5017,0.1907,0.3585,0.1824,0.9504,-0.7561,2.0906,-2.6379
1.7,0.3756,0.6263,0.1925,1.5491,1.2481,-1.4613,-3.5075,0.1820,0.3792,0.2269,0.9322,-0.7258,2.0917,-2.6413
1.8,0.3755,0.6313,0.1887,1.5655,1.4336,-1.4613,-3.5130,0.1788,0.3981,0.2594,0.9158,-0.7199,2.0925,-2.6308
1.9,0.3796,0.6472,0.1888,1.5702,1.2770,-1.4613,-3.5061,0.1767,0.4109,0.2799,0.9015,-0.7124,2.0930,-2.6254
2.0,0.3840,0.6609,0.1914,1.5662,1.1332,-1.4613,-3.5006,0.1797,0.4262,0.2953,0.8867,-0.7153,2.0934,-2.6161
2.1,0.3953,0.7029,0.1900,1.5625,1.3295,-1.4613,-3.5424,0.1813,0.4357,0.3035,0.8798,-0.7287,2.0937,-2.5989
2.2,0.4111,0.7597,0.1878,1.5640,1.4057,-1.4613,-3.5635,0.1840,0.4442,0.3071,0.8698,-0.7425,2.0938,-2.5806
2.3,0.4208,0.7900,0.1903,1.5500,1.2303,-1.4613,-3.5523,0.1821,0.4404,0.2849,0.9275,-0.7663,2.0941,-2.5873
2.4,0.4092,0.7437,0.1969,1.5386,1.2332,-1.4613,-3.5409,0.1705,0.3356,0.1378,1.0683,-0.8816,2.0942,-2.5694
2.5,0.4085,0.7390,0.1992,1.5377,1.1542,-1.4613,-3.5315,0.1761,0.2840,0.0573,1.1444,-1.0489,2.0942,-2.5062
2.6,0.4159,0.7578,0.2031,1.5335,1.0273,-1.4613,-3.5269,0.1829,0.2346,-0.0104,1.2012,-1.2022,2.0942,-2.4237
2.7,0.4237,0.7730,0.2101,1.5231,0.9369,-1.4613,-3.5244,0.1896,0.2010,-0.0616,1.2375,-1.3528,2.0942,-2.2162
2.8,0.4272,0.7741,0.2180,1.5124,0.9077,-1.4613,-3.5236,0.1963,0.1933,-0.0972,1.2622,-1.4668,2.0790,-1.9822
2.9,0.4356,0.7874,0.2266,1.5019,0.8655,-1.4613,-3.5258,0.1998,0.1612,-0.1268,1.2813,-1.5389,2.0836,-1.9156
3.0,0.4430,0.8008,0.2325,1.4952,0.8528,-1.4613,-3.5308,0.2040,0.1446,-0.1495,1.2927,-1.5813,2.0868,-1.9106
3.1,0.4528,0.8232,0.2358,1.4906,0.8086,-1.4613,-3.5351,0.2073,0.1375,-0.1654,1.3004,-1.6076,2.0890,-1.9224
3.2,0.4417,0.7777,0.2516,1.4958,0.9047,-1.4613,-3.5050,0.2121,0.1326,-0.1851,1.3155,-1.6147,2.0917,-2.0322
3.3,0.4385,0.6819,0.3954,1.4185,0.9446,-1.4613,-3.5099,0.2148,0.1531,-0.1897,1.3250,-1.5873,2.0930,-2.1582
3.4,0.4918,0.6331,0.6169,1.3801,0.8379,-1.4613,-3.5705,0.2308,0.3127,-0.1819,1.3452,-1.5677,2.0936,-2.3009
3.5,0.4916,0.5866,0.7413,1.3547,0.6966,-1.4613,-3.6158,0.2342,0.3626,-0.1744,1.3586,-1.5255,2.0940,-2.4007
3.6,0.4849,0.5563,0.8130,1.3535,0.6409,-1.4613,-3.6228,0.2354,0.3907,-0.1641,1.3672,-1.5028,2.0941,-2.4555
3.7,0.4795,0.5404,0.8463,1.3484,0.6999,-1.4613,-3.5972,0.2383,0.4229,-0.1569,1.3649,-1.4805,2.0942,-2.4856
3.8,0.4350,0.5014,0.8727,1.3599,0.6901,-1.4613,-3.5654,0.2296,0.3694,-0.1527,1.3795,-1.4261,2.0942,-2.5374
3.9,0.4044,0.4783,0.8535,1.4128,0.6564,-1.4613,-3.5359,0.2295,0.3711,-0.1515,1.3695,-1.4553,2.0942,-2.4964
4.0,0.3883,0.4712,0.7775,1.4561,0.6934,-1.4613,-3.5124,0.2287,0.3610,-0.1542,1.3654,-1.4723,2.0943,-2.4733
4.1,0.3848,0.5097,0.5757,1.4686,0.7619,-1.4613,-3.4909,0.2220,0.2865,-0.1659,1.3737,-1.5104,2.0943,-2.4386
4.2,0.3950,0.5849,0.4220,1.4453,0.7928,-1.4613,-3.4862,0.2240,0.2833,-0.1755,1.3777,-1.5814,2.0943,-2.3547
4.3,0.4063,0.6489,0.3348,1.4517,0.8714,-1.4613,-3.5020,0.2299,0.3238,-0.1814,1.3783,-1.6409,2.0943,-2.2709
4.4,0.4205,0.7116,0.2857,1.4671,0.8822,-1.4613,-3.5148,0.2299,0.3157,-0.1849,1.3696,-1.6908,2.0943,-2.0985
4.5,0.4219,0.7385,0.2503,1.4610,0.7359,-1.4613,-3.4915,0.2142,0.1943,-0.1847,1.3260,-1.6803,1.9245,-1.6067
4.6,0.4427,0.8401,0.2155,1.4460,0.3833,-1.4613,-3.4557,0.0977,-0.2056,-0.1772,0.9296,-0.8055,1.9469,-1.3951
4.7,0.4118,0.7408,0.2088,1.4739,0.4886,-1.4613,-3.4513,-0.0933,-0.5239,-0.1874,0.7354,-0.1155,1.9765,-1.3064
4.8,0.3806,0.6357,0.2044,1.5012,0.6415,-1.4613,-3.4455,-0.2315,-0.6658,-0.1763,0.6402,0.2494,1.9725,-1.2553
4.9,0.3762,0.6219,0.2037,1.5095,0.6649,-1.4613,-3.4469,-0.2750,-0.6980,-0.1672,0.6128,0.3566,1.9589,-1.2491
5.0,0.3776,0.6275,0.2037,1.5153,0.6762,-1.4613,-3.4519,-0.3136,-0.7158,-0.1563,0.5936,0.4252,1.9379,-1.2515
5.1,0.3685,0.5959,0.2031,1.5220,0.7117,-1.4613,-3.4480,-0.3524,-0.7351,-0.1509,0.5801,0.4730,1.9285,-1.2428
5.2,0.3666,0.5917,0.2007,1.5319,0.6752,-1.4613,-3.4474,-0.4023,-0.7513,-0.1392,0.5641,0.5167,1.9068,-1.2351
5.3,0.3677,0.5971,0.1992,1.5363,0.6955,-1.4613,-3.4512,-0.4047,-0.7536,-0.1366,0.5595,0.5333,1.9074,-1.2281
5.4,0.4063,0.7200,0.2026,1.5164,0.3900,-1.4613,-3.4662,-0.3378,-0.7951,-0.1696,0.5540,0.4315,1.9630,-1.1732
5.5,0.4188,0.7753,0.1950,1.4952,0.2377,-1.4613,-3.4482,-0.0957,-0.4575,-0.1670,0.9697,-0.5073,1.4419,-0.7380
5.6,0.4271,0.7979,0.1993,1.4814,0.3165,-1.4613,-3.4572,0.0699,-0.0753,-0.1792,1.1693,-1.1620,1.6864,-1.0240
5.7,0.4244,0.7852,0.2032,1.4706,0.3974,-1.4613,-3.4569,0.1533,0.1217,-0.1903,1.2685,-1.4866,1.8376,-1.1962
5.8,0.4210,0.7723,0.2053,1.4614,0.4541,-1.4613,-3.4552,0.1973,0.2500,-0.1962,1.3088,-1.6411,1.8848,-1.2474
5.9,0.4408,0.8129,0.2164,1.4393,0.6321,-1.4613,-3.4966,0.2294,0.4341,-0.2006,1.3224,-1.7116,1.9916,-1.4655
6.0,0.3504,0.5461,0.2294,1.2271,0.5773,-0.4927,-3.0878,0.2432,0.5318,-0.1987,1.3121,-1.7038,2.0224,-1.6344
6.1,0.2325,0.2694,0.2431,1.0286,0.9030,0.1854,-2.6841,0.2365,0.4410,-0.1954,1.3051,-1.6730,2.0440,-1.7673
6.2,-0.0959,-0.0740,0.3730,0.7923,1.4289,0.9923,-1.8970,0.1917,0.0955,-0.1899,1.3346,-1.5673,2.0696,-2.0457
6.3,-0.3081,-0.1986,0.5028,0.6765,1.6661,1.3877,-1.4053,0.1752,-0.0456,-0.1869,1.3512,-1.5071,2.0822,-2.2094
6.4,-0.3931,-0.2523,0.5647,0.6198,1.7959,1.5814,-1.1477,0.1667,-0.1150,-0.1850,1.3606,-1.4896,2.0883,-2.2772
6.5,-0.4157,-0.2660,0.5834,0.6035,1.8330,1.6373,-1.0647,0.1652,-0.1295,-0.1843,1.3648,-1.4894,2.0901,-2.2958
