frame,timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,right_wrist_x,right_wrist_y,right_wrist_z,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_pitch_joint,right_wrist_roll_joint,right_wrist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_pitch_joint,left_wrist_roll_joint,left_wrist_yaw_joint
1,2025-07-17T23:35:24.200472,0.17319543659687042,-0.4107951521873474,-0.07019712775945663,0.22232642769813538,-0.24518346786499023,-0.20386826992034912,0.11455710232257843,-0.33780720829963684,-0.3815269470214844,-0.16129599511623383,-0.4191746115684509,-0.1111304759979248,-0.21881911158561707,-0.2593773901462555,-0.19004525244235992,-0.16079331934452057,-0.22663986682891846,-0.35153353214263916,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.1,-0.1,0.0,0.6,0.0,0.0,0.0
2,2025-07-17T23:35:24.324628,0.1671304851770401,-0.40739864110946655,-0.08272696286439896,0.20596946775913239,-0.25316122174263,-0.20330893993377686,0.0996515229344368,-0.3457561433315277,-0.35243797302246094,-0.1621355265378952,-0.41407039761543274,-0.12180328369140625,-0.20649176836013794,-0.2510596215724945,-0.1915971338748932,-0.13959652185440063,-0.23322540521621704,-0.3433406352996826,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.1,-0.1,0.0,0.6,0.0,0.0,0.0
3,2025-07-17T23:35:24.358562,0.16958531737327576,-0.40957167744636536,-0.08942022919654846,0.20567505061626434,-0.2600199580192566,-0.22906172275543213,0.09788050502538681,-0.36868783831596375,-0.3896195888519287,-0.16264958679676056,-0.4194755554199219,-0.12195348739624023,-0.2109285295009613,-0.27144956588745117,-0.21660810708999634,-0.14462216198444366,-0.2808306813240051,-0.37869083881378174,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.1,-0.1,0.0,0.6,0.0,0.0,0.0
4,2025-07-17T23:35:24.458939,0.17833645641803741,-0.3954521417617798,-0.09929569065570831,0.224931001663208,-0.2351371794939041,-0.22819209098815918,0.1185913234949112,-0.3365408182144165,-0.40781736373901367,-0.1524655967950821,-0.4201095402240753,-0.12012863159179688,-0.24916164577007294,-0.27742907404899597,-0.13928407430648804,-0.2532082498073578,-0.19146598875522614,-0.27906715869903564,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.1,-0.1,0.0,0.6,0.0,0.0,0.0
5,2025-07-17T23:35:24.523236,0.1785360723733902,-0.3988214433193207,-0.09211452305316925,0.219874307513237,-0.24874408543109894,-0.21795928478240967,0.10377670079469681,-0.3580397665500641,-0.38611769676208496,-0.15048480033874512,-0.41708904504776,-0.11755585670471191,-0.20692624151706696,-0.2487676739692688,-0.1433754563331604,-0.20041458308696747,-0.15934927761554718,-0.2969127893447876,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.1,-0.1,0.0,0.6,0.0,0.0,0.0
6,2025-07-17T23:35:24.624613,0.16961359977722168,-0.39728373289108276,-0.10273711383342743,0.2022785097360611,-0.25132331252098083,-0.2254037857055664,0.07569205015897751,-0.3836132884025574,-0.36792826652526855,-0.15722034871578217,-0.40500035881996155,-0.12172961235046387,-0.19996245205402374,-0.22809334099292755,-0.13920800387859344,-0.2059262990951538,-0.13994711637496948,-0.28627240657806396,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.1,-0.1,0.0,0.6,0.0,0.0,0.0
7,2025-07-17T23:35:24.723125,0.16920635104179382,-0.40720832347869873,-0.09177999198436737,0.20076175034046173,-0.2649857997894287,-0.21754777431488037,0.08235371857881546,-0.38138145208358765,-0.3664078712463379,-0.1579558402299881,-0.4098834693431854,-0.11551046371459961,-0.19041408598423004,-0.23889075219631195,-0.16958767175674438,-0.15618622303009033,-0.21229706704616547,-0.3340543508529663,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.1,-0.1,0.0,0.6,0.0,0.0,0.0
8,2025-07-17T23:35:24.825020,0.16705018281936646,-0.40714144706726074,-0.09234127402305603,0.1930503249168396,-0.2642531096935272,-0.21371150016784668,0.08039893954992294,-0.38453376293182373,-0.34476375579833984,-0.1597975194454193,-0.40834683179855347,-0.11723184585571289,-0.18271128833293915,-0.24658407270908356,-0.19687612354755402,-0.11570131778717041,-0.27092641592025757,-0.35010600090026855,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.1,-0.1,0.0,0.6,0.0,0.0,0.0
9,2025-07-17T23:35:24.924090,0.1598557084798813,-0.4054575562477112,-0.10118631273508072,0.18541260063648224,-0.2683653235435486,-0.2245699167251587,0.0792921632528305,-0.384893536567688,-0.3458571434020996,-0.16505974531173706,-0.40564751625061035,-0.1231687068939209,-0.1926746368408203,-0.24843595921993256,-0.20894713699817657,-0.13287010788917542,-0.2739521563053131,-0.3738222122192383,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.1,-0.1,0.0,0.6,0.0,0.0,0.0
10,2025-07-17T23:35:25.023964,0.158657044172287,-0.4062560498714447,-0.0998489111661911,0.19120493531227112,-0.267511248588562,-0.2268613576889038,0.06606445461511612,-0.39064013957977295,-0.35080862045288086,-0.16568300127983093,-0.40307044982910156,-0.11941766738891602,-0.19094648957252502,-0.22968757152557373,-0.16933219134807587,-0.16450679302215576,-0.1818191558122635,-0.32485997676849365,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.1,-0.1,0.0,0.6,0.0,0.0,0.0
